"","Term_unique","n","count_unique","tissues"
"1","NA",1790,60,"juvenile"
"2","signaling",146,60,"juvenile"
"3","anatomical structure development",139,60,"juvenile"
"4","cell differentiation",80,60,"juvenile"
"5","transmembrane transport",63,60,"juvenile"
"6","immune system process",57,60,"juvenile"
"7","carbohydrate derivative metabolic process",46,60,"juvenile"
"8","lipid metabolic process",41,60,"juvenile"
"9","DNA-templated transcription",39,60,"juvenile"
"10","cell adhesion",37,60,"juvenile"
"11","defense response to other organism",34,60,"juvenile"
"12","nervous system process",30,60,"juvenile"
"13","regulation of DNA-templated transcription",29,60,"juvenile"
"14","carbohydrate metabolic process",28,60,"juvenile"
"15","vesicle-mediated transport",28,60,"juvenile"
"16","cell motility",26,60,"juvenile"
"17","nucleobase-containing small molecule metabolic process",25,60,"juvenile"
"18","circulatory system process",24,60,"juvenile"
"19","cell junction organization",22,60,"juvenile"
"20","reproductive process",21,60,"juvenile"
"21","programmed cell death",20,60,"juvenile"
"22","sulfur compound metabolic process",18,60,"juvenile"
"23","cytoskeleton organization",16,60,"juvenile"
"24","extracellular matrix organization",16,60,"juvenile"
"25","membrane organization",15,60,"juvenile"
"26","protein-containing complex assembly",12,60,"juvenile"
"27","cellular amino acid metabolic process",11,60,"juvenile"
"28","protein catabolic process",11,60,"juvenile"
"29","cellular modified amino acid metabolic process",9,60,"juvenile"
"30","inflammatory response",9,60,"juvenile"
"31","muscle system process",9,60,"juvenile"
"32","protein glycosylation",9,60,"juvenile"
"33","wound healing",9,60,"juvenile"
"34","protein localization to plasma membrane",7,60,"juvenile"
"35","protein maturation",7,60,"juvenile"
"36","vitamin metabolic process",7,60,"juvenile"
"37","intracellular protein transport",6,60,"juvenile"
"38","digestive system process",5,60,"juvenile"
"39","endocrine process",5,60,"juvenile"
"40","autophagy",4,60,"juvenile"
"41","cilium organization",4,60,"juvenile"
"42","nucleocytoplasmic transport",4,60,"juvenile"
"43","renal system process",4,60,"juvenile"
"44","DNA recombination",3,60,"juvenile"
"45","DNA repair",3,60,"juvenile"
"46","chromatin organization",3,60,"juvenile"
"47","generation of precursor metabolites and energy",3,60,"juvenile"
"48","DNA replication",2,60,"juvenile"
"49","chromosome segregation",2,60,"juvenile"
"50","cytokinesis",2,60,"juvenile"
"51","mRNA metabolic process",2,60,"juvenile"
"52","meiotic nuclear division",2,60,"juvenile"
"53","nitrogen cycle metabolic process",2,60,"juvenile"
"54","ribosome biogenesis",2,60,"juvenile"
"55","detoxification",1,60,"juvenile"
"56","gene silencing by RNA",1,60,"juvenile"
"57","microtubule-based movement",1,60,"juvenile"
"58","mitochondrial gene expression",1,60,"juvenile"
"59","mitochondrion organization",1,60,"juvenile"
"60","mitotic cell cycle",1,60,"juvenile"
"61","protein folding",1,60,"juvenile"
