spot,Genebank,Description,Cluster,Tissue specificity,,ST3F F9,ST3F F14,ST3F F15,ST3F F32,Gc3Fb,Gc3Fa,Gc3Fc,Gl3Fa,Gl3Fb,Gl3Fd,LQ15,LQ18,LQ21,HQ28,HQ29,HQ3,HQ26
286,BQ427044,(sp:P34714) SPARC OS=Caenorhabditis elegans GN=ost-1 PE=1 SV=1,1,,somatic,1.1305162,1.138145661,0.991486092,1.070676347,1.091162281,1.254729714,0.865272221,1.021125709,1.007713641,0.760208114,-0.487993646,-0.544554017,-0.176453296,-0.388047411,-0.284852808,-0.415184238,-0.217263512
542,CU683682,0,1,,oocytes,-0.255144877,-0.164136005,-0.061095045,-0.169694609,-0.212719331,-0.160768902,-0.018471582,-0.268932111,-0.194102938,-0.276947835,0.578137874,0.529613355,0.335300958,0.471983281,0.427752216,0.316822425,0.460841226
1155,DV736722,0,1,,somatic,0.714243021,0.766330404,0.644681293,0.820079793,0.677958833,0.915759066,0.561489803,0.697246731,0.601389084,0.571622436,-0.941437865,-0.74697786,-1.144084779,-1.090059546,-0.82642777,-1.378857087,-0.559923909
1947,BQ426244,0,1,,somatic,1.365823403,1.123231616,1.129950208,1.112152652,1.014224311,1.289807166,1.169130008,1.14387332,0.984940759,0.940811501,0.073638016,0.13922397,0.140189264,-0.153437287,-0.459608026,-0.187139428,-0.472735513
2543,AM854135,0,1,,somatic,0.306349024,0.158209282,-0.119093902,0.031740302,0.023325293,0.225111643,-0.162320652,0.001413851,0.014637341,-0.254489715,-0.610336461,-0.619264891,-0.828090144,-0.647627011,-0.755920995,-0.892717029,-0.829011062
2687,CU999082,0,1,,somatic,0.881089067,0.662932647,0.521165712,0.677566386,0.722286766,0.840480903,0.595064778,0.603875132,0.55487486,0.505016398,-0.19669082,-0.108368587,0.010580646,0.097039565,-0.497043053,-0.121103159,-0.230243826
3259,FP010274,0,1,,somatic,0.353918303,0.496622606,0.261178,0.490789571,0.355302058,0.853738603,0.366966668,0.390702066,0.30141296,0.179213204,-0.472361053,-0.608663978,-0.521595889,-0.659264024,-0.971861901,-0.737463136,-0.672881381
3302,CU682512,0,1,,somatic,0.814868702,0.619412127,0.392429726,0.498568205,0.627801305,0.852158372,0.509700528,0.651763545,0.553803522,0.288788799,-0.404894346,-0.217516491,-0.579940435,-0.67286562,-0.242505779,-0.457940308,-0.53803386
4464,ES789495,0,1,,somatic,1.692497384,1.658173441,1.490730255,1.638127297,1.757158687,1.890727147,1.647364021,1.629007316,1.530464821,1.384927785,0.946852551,0.866389146,0.925364399,0.789674329,0.451077383,0.837899486,0.758255875
5032,CU683161,(sp:A2ASS6) Titin OS=Mus musculus GN=Ttn PE=1 SV=1,1,adductor muscle,somatic,0.259724846,0.594534577,0.485968305,0.380567279,0.133153725,0.367006238,0.70822692,0.295661439,0.229069475,0.085409087,-0.210674131,-0.455376305,-0.087779654,-0.409783535,-0.141807256,-0.149013331,-0.263596024
