"","transcriptome","Term_unique","n_species","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"1","Manila","anatomical structure development",129,0.104453441295547,1853,0.105218329453183,0.992730466624863,-0.0072960851906801
"2","Manila","signaling",113,0.091497975708502,1603,0.0910226562943615,1.005221990145,0.0052084028357955
"3","Manila","cell differentiation",86,0.0696356275303644,1281,0.0727386292657998,0.957340387538834,-0.0435962689102189
"4","Manila","cytoskeleton organization",65,0.0526315789473684,516,0.0292998693998069,1.79630762953896,0.585733241147082
"5","Manila","DNA-templated transcription",51,0.0412955465587045,741,0.042075975242746,0.981451916930289,-0.0187222558387535
"6","Manila","reproductive process",48,0.0388663967611336,536,0.0304355232525126,1.27700767417971,0.244519586570097
"7","Manila","regulation of DNA-templated transcription",47,0.0380566801619433,678,0.0384986656067231,0.988519460666643,-0.0115469494973292
"8","Manila","cell motility",40,0.0323886639676113,595,0.0337857021179944,0.958650018711938,-0.0422292146986858
"9","Manila","programmed cell death",40,0.0323886639676113,600,0.0340696155811709,0.950661268556005,-0.0505974643692024
"10","Manila","protein-containing complex assembly",39,0.0315789473684211,444,0.0252115155300664,1.25256045519203,0.225189820430429
"11","Manila","immune system process",36,0.0291497975708502,670,0.0380444040656408,0.766204604507825,-0.266306037195894
"12","Manila","mitotic cell cycle",33,0.0267206477732794,363,0.0206121174266084,1.29635627530364,0.259557463934637
"13","Manila","vesicle-mediated transport",29,0.0234817813765182,484,0.0274828232354778,0.854416635995583,-0.15733633999715
"14","Manila","cilium organization",28,0.0226720647773279,178,0.0101073192890807,2.24313333030069,0.807873696616127
"15","Manila","protein catabolic process",28,0.0226720647773279,302,0.017148373175856,1.3221116979918,0.279230229533342
"16","Manila","nervous system process",27,0.0218623481781377,358,0.0203282039634319,1.07546875353403,0.0727566163366364
"17","Manila","microtubule-based movement",25,0.0202429149797571,161,0.00914201351428085,2.2142731410466,0.794924196616745
"18","Manila","mRNA metabolic process",23,0.0186234817813765,197,0.0111861904491511,1.66486364290265,0.509743223924169
"19","Manila","transmembrane transport",21,0.017004048582996,330,0.018738288569644,0.907449392712551,-0.0971174800040953
"20","Manila","cell adhesion",18,0.0145748987854251,387,0.0219749020498552,0.663252047829771,-0.410600198400609
"21","Manila","carbohydrate derivative metabolic process",17,0.0137651821862348,301,0.0170915904832207,0.805377486650437,-0.216444183959652
"22","Manila","DNA repair",16,0.0129554655870445,181,0.0102776673669865,1.26054532847205,0.231544427706963
"23","Manila","cell junction organization",16,0.0129554655870445,279,0.0158423712452445,0.817773134241725,-0.201170322848577
"24","Manila","membrane organization",15,0.0121457489878543,278,0.0157855885526092,0.769420091457199,-0.262118175855419
"25","Manila","nucleobase-containing small molecule metabolic process",15,0.0121457489878543,172,0.00976662313326898,1.24359758968082,0.218008461021765
"26","Manila","lipid metabolic process",14,0.011336032388664,352,0.0199875078076202,0.567155870445344,-0.567121109249831
"27","Manila","autophagy",12,0.0097165991902834,161,0.00914201351428085,1.06285110770237,0.060955021536545
"28","Manila","chromosome segregation",12,0.0097165991902834,140,0.00794957696893987,1.22227877385772,0.200716963911704
"29","Manila","defense response to other organism",12,0.0097165991902834,294,0.0166941116347737,0.58203751136082,-0.541220380817674
"30","Manila","generation of precursor metabolites and energy",11,0.00890688259109312,105,0.0059621827267049,1.49389627915944,0.401387659373855
"31","Manila","cytokinesis",10,0.00809716599190283,96,0.00545113849298734,1.48540823211876,0.395689638259217
"32","Manila","mitotic nuclear division",10,0.00809716599190283,132,0.00749531542785759,1.08029689608637,0.0772359071406824
"33","Manila","chromatin organization",9,0.00728744939271255,115,0.00653000965305775,1.11599366308748,0.109745185705977
