"","Term_unique","n","count_unique","species"
"1","NA",510,65,"Mercenaria-Pgen"
"2","anatomical structure development",95,65,"Mercenaria-Pgen"
"3","signaling",90,65,"Mercenaria-Pgen"
"4","cell differentiation",65,65,"Mercenaria-Pgen"
"5","DNA-templated transcription",52,65,"Mercenaria-Pgen"
"6","regulation of DNA-templated transcription",47,65,"Mercenaria-Pgen"
"7","lipid metabolic process",45,65,"Mercenaria-Pgen"
"8","reproductive process",33,65,"Mercenaria-Pgen"
"9","immune system process",30,65,"Mercenaria-Pgen"
"10","cytoskeleton organization",28,65,"Mercenaria-Pgen"
"11","carbohydrate derivative metabolic process",26,65,"Mercenaria-Pgen"
"12","cell motility",25,65,"Mercenaria-Pgen"
"13","programmed cell death",24,65,"Mercenaria-Pgen"
"14","vesicle-mediated transport",23,65,"Mercenaria-Pgen"
"15","cell adhesion",20,65,"Mercenaria-Pgen"
"16","mRNA metabolic process",19,65,"Mercenaria-Pgen"
"17","transmembrane transport",19,65,"Mercenaria-Pgen"
"18","cell junction organization",18,65,"Mercenaria-Pgen"
"19","protein-containing complex assembly",18,65,"Mercenaria-Pgen"
"20","protein catabolic process",17,65,"Mercenaria-Pgen"
"21","mitotic cell cycle",15,65,"Mercenaria-Pgen"
"22","nervous system process",15,65,"Mercenaria-Pgen"
"23","carbohydrate metabolic process",14,65,"Mercenaria-Pgen"
"24","membrane organization",14,65,"Mercenaria-Pgen"
"25","nucleobase-containing small molecule metabolic process",14,65,"Mercenaria-Pgen"
"26","DNA recombination",13,65,"Mercenaria-Pgen"
"27","DNA repair",13,65,"Mercenaria-Pgen"
"28","circulatory system process",11,65,"Mercenaria-Pgen"
"29","telomere organization",11,65,"Mercenaria-Pgen"
"30","autophagy",9,65,"Mercenaria-Pgen"
"31","cilium organization",9,65,"Mercenaria-Pgen"
"32","defense response to other organism",9,65,"Mercenaria-Pgen"
"33","microtubule-based movement",9,65,"Mercenaria-Pgen"
"34","sulfur compound metabolic process",9,65,"Mercenaria-Pgen"
"35","mitochondrion organization",8,65,"Mercenaria-Pgen"
"36","muscle system process",7,65,"Mercenaria-Pgen"
"37","inflammatory response",6,65,"Mercenaria-Pgen"
"38","mitotic nuclear division",6,65,"Mercenaria-Pgen"
"39","nucleocytoplasmic transport",6,65,"Mercenaria-Pgen"
"40","protein maturation",6,65,"Mercenaria-Pgen"
"41","ribosome biogenesis",6,65,"Mercenaria-Pgen"
"42","DNA replication",5,65,"Mercenaria-Pgen"
"43","chromatin organization",5,65,"Mercenaria-Pgen"
"44","chromosome segregation",5,65,"Mercenaria-Pgen"
"45","establishment or maintenance of cell polarity",5,65,"Mercenaria-Pgen"
