"","Term_unique","n","count_unique","tissue"
"1","NA",342,41,"heart"
"2","signaling",13,41,"heart"
"3","anatomical structure development",11,41,"heart"
"4","cell differentiation",9,41,"heart"
"5","DNA-templated transcription",8,41,"heart"
"6","vesicle-mediated transport",7,41,"heart"
"7","regulation of DNA-templated transcription",6,41,"heart"
"8","autophagy",5,41,"heart"
"9","reproductive process",5,41,"heart"
"10","transmembrane transport",5,41,"heart"
"11","nervous system process",4,41,"heart"
"12","circulatory system process",3,41,"heart"
"13","defense response to other organism",3,41,"heart"
"14","immune system process",3,41,"heart"
"15","intracellular protein transport",3,41,"heart"
"16","muscle system process",3,41,"heart"
"17","protein-containing complex assembly",3,41,"heart"
"18","renal system process",3,41,"heart"
"19","DNA recombination",2,41,"heart"
"20","cell adhesion",2,41,"heart"
"21","chromosome segregation",2,41,"heart"
"22","cytoskeleton organization",2,41,"heart"
"23","meiotic nuclear division",2,41,"heart"
"24","mitochondrion organization",2,41,"heart"
"25","programmed cell death",2,41,"heart"
"26","DNA repair",1,41,"heart"
"27","carbohydrate derivative metabolic process",1,41,"heart"
"28","cell junction organization",1,41,"heart"
"29","cell motility",1,41,"heart"
"30","cilium organization",1,41,"heart"
"31","cytokinesis",1,41,"heart"
"32","digestive system process",1,41,"heart"
"33","lipid metabolic process",1,41,"heart"
"34","membrane organization",1,41,"heart"
"35","mitochondrial gene expression",1,41,"heart"
"36","mitotic cell cycle",1,41,"heart"
"37","mitotic nuclear division",1,41,"heart"
"38","nucleobase-containing small molecule metabolic process",1,41,"heart"
"39","nucleocytoplasmic transport",1,41,"heart"
"40","protein folding",1,41,"heart"
"41","protein glycosylation",1,41,"heart"
"42","protein localization to plasma membrane",1,41,"heart"
"43","NA",103,36,"gonad"
"44","anatomical structure development",5,36,"gonad"
"45","signaling",5,36,"gonad"
"46","transmembrane transport",5,36,"gonad"
"47","cell motility",3,36,"gonad"
"48","cell adhesion",2,36,"gonad"
"49","cell differentiation",2,36,"gonad"
"50","cell junction organization",2,36,"gonad"
"51","cytoskeleton organization",2,36,"gonad"
"52","immune system process",2,36,"gonad"
"53","inflammatory response",2,36,"gonad"
"54","lipid metabolic process",2,36,"gonad"
"55","vesicle-mediated transport",2,36,"gonad"
"56","DNA replication",1,36,"gonad"
"57","DNA-templated transcription",1,36,"gonad"
"58","carbohydrate derivative metabolic process",1,36,"gonad"
"59","cellular amino acid metabolic process",1,36,"gonad"
"60","cellular modified amino acid metabolic process",1,36,"gonad"
"61","chromatin organization",1,36,"gonad"
"62","cilium organization",1,36,"gonad"
"63","circulatory system process",1,36,"gonad"
"64","cytokinesis",1,36,"gonad"
"65","intracellular protein transport",1,36,"gonad"
"66","membrane organization",1,36,"gonad"
"67","mitotic cell cycle",1,36,"gonad"
"68","muscle system process",1,36,"gonad"
"69","nervous system process",1,36,"gonad"
"70","nucleobase-containing small molecule metabolic process",1,36,"gonad"
"71","programmed cell death",1,36,"gonad"
"72","protein glycosylation",1,36,"gonad"
"73","protein maturation",1,36,"gonad"
"74","protein-containing complex assembly",1,36,"gonad"
"75","regulation of DNA-templated transcription",1,36,"gonad"
"76","reproductive process",1,36,"gonad"
"77","ribosome biogenesis",1,36,"gonad"
"78","tRNA metabolic process",1,36,"gonad"
"79","wound healing",1,36,"gonad"
"80","NA",324,32,"ctenidia"
"81","signaling",8,32,"ctenidia"
"82","anatomical structure development",6,32,"ctenidia"
"83","cell differentiation",4,32,"ctenidia"
"84","intracellular protein transport",3,32,"ctenidia"
"85","protein-containing complex assembly",3,32,"ctenidia"
"86","transmembrane transport",3,32,"ctenidia"
"87","DNA-templated transcription",2,32,"ctenidia"
"88","autophagy",2,32,"ctenidia"
"89","carbohydrate derivative metabolic process",2,32,"ctenidia"
"90","carbohydrate metabolic process",2,32,"ctenidia"
"91","cell adhesion",2,32,"ctenidia"
"92","cell junction organization",2,32,"ctenidia"
"93","cytoskeleton organization",2,32,"ctenidia"
"94","defense response to other organism",2,32,"ctenidia"
"95","regulation of DNA-templated transcription",2,32,"ctenidia"
"96","vesicle-mediated transport",2,32,"ctenidia"
"97","DNA recombination",1,32,"ctenidia"
"98","DNA repair",1,32,"ctenidia"
