"","Term_unique","n","count_unique","species"
"1","NA",261,68,"Mercenaria-Pgen"
"2","anatomical structure development",203,68,"Mercenaria-Pgen"
"3","signaling",181,68,"Mercenaria-Pgen"
"4","cell differentiation",134,68,"Mercenaria-Pgen"
"5","DNA-templated transcription",86,68,"Mercenaria-Pgen"
"6","regulation of DNA-templated transcription",80,68,"Mercenaria-Pgen"
"7","cytoskeleton organization",64,68,"Mercenaria-Pgen"
"8","cell motility",63,68,"Mercenaria-Pgen"
"9","vesicle-mediated transport",58,68,"Mercenaria-Pgen"
"10","immune system process",51,68,"Mercenaria-Pgen"
"11","reproductive process",50,68,"Mercenaria-Pgen"
"12","protein-containing complex assembly",47,68,"Mercenaria-Pgen"
"13","programmed cell death",45,68,"Mercenaria-Pgen"
"14","transmembrane transport",42,68,"Mercenaria-Pgen"
"15","carbohydrate derivative metabolic process",41,68,"Mercenaria-Pgen"
"16","lipid metabolic process",40,68,"Mercenaria-Pgen"
"17","nervous system process",38,68,"Mercenaria-Pgen"
"18","cilium organization",37,68,"Mercenaria-Pgen"
"19","protein catabolic process",37,68,"Mercenaria-Pgen"
"20","mitotic cell cycle",36,68,"Mercenaria-Pgen"
"21","mRNA metabolic process",34,68,"Mercenaria-Pgen"
"22","cell adhesion",33,68,"Mercenaria-Pgen"
"23","cell junction organization",31,68,"Mercenaria-Pgen"
"24","membrane organization",29,68,"Mercenaria-Pgen"
"25","microtubule-based movement",26,68,"Mercenaria-Pgen"
"26","DNA repair",25,68,"Mercenaria-Pgen"
"27","nucleobase-containing small molecule metabolic process",25,68,"Mercenaria-Pgen"
"28","circulatory system process",20,68,"Mercenaria-Pgen"
"29","defense response to other organism",20,68,"Mercenaria-Pgen"
"30","intracellular protein transport",20,68,"Mercenaria-Pgen"
"31","carbohydrate metabolic process",18,68,"Mercenaria-Pgen"
"32","autophagy",17,68,"Mercenaria-Pgen"
"33","cytokinesis",16,68,"Mercenaria-Pgen"
"34","DNA recombination",13,68,"Mercenaria-Pgen"
"35","chromosome segregation",12,68,"Mercenaria-Pgen"
"36","nucleocytoplasmic transport",12,68,"Mercenaria-Pgen"
"37","sulfur compound metabolic process",12,68,"Mercenaria-Pgen"
"38","DNA replication",11,68,"Mercenaria-Pgen"
"39","chromatin organization",11,68,"Mercenaria-Pgen"
"40","establishment or maintenance of cell polarity",11,68,"Mercenaria-Pgen"
"41","cellular amino acid metabolic process",10,68,"Mercenaria-Pgen"
"42","generation of precursor metabolites and energy",10,68,"Mercenaria-Pgen"
"43","mitotic nuclear division",10,68,"Mercenaria-Pgen"
"44","protein localization to plasma membrane",10,68,"Mercenaria-Pgen"
"45","tRNA metabolic process",10,68,"Mercenaria-Pgen"
"46","mitochondrion organization",9,68,"Mercenaria-Pgen"
"47","inflammatory response",8,68,"Mercenaria-Pgen"
"48","protein glycosylation",8,68,"Mercenaria-Pgen"
"49","protein maturation",8,68,"Mercenaria-Pgen"
"50","cytoplasmic translation",7,68,"Mercenaria-Pgen"
"51","muscle system process",6,68,"Mercenaria-Pgen"
"52","extracellular matrix organization",5,68,"Mercenaria-Pgen"
"53","gene silencing by RNA",5,68,"Mercenaria-Pgen"
"54","meiotic nuclear division",5,68,"Mercenaria-Pgen"
"55","mitochondrial gene expression",5,68,"Mercenaria-Pgen"
"56","ribosome biogenesis",5,68,"Mercenaria-Pgen"
"57","telomere organization",5,68,"Mercenaria-Pgen"
"58","endocrine process",4,68,"Mercenaria-Pgen"
"59","nitrogen cycle metabolic process",4,68,"Mercenaria-Pgen"
"60","vitamin metabolic process",4,68,"Mercenaria-Pgen"
"61","wound healing",4,68,"Mercenaria-Pgen"
"62","lysosome organization",3,68,"Mercenaria-Pgen"
"63","cellular modified amino acid metabolic process",2,68,"Mercenaria-Pgen"
"64","detoxification",2,68,"Mercenaria-Pgen"
"65","digestive system process",2,68,"Mercenaria-Pgen"
"66","renal system process",2,68,"Mercenaria-Pgen"
"67","snRNA metabolic process",2,68,"Mercenaria-Pgen"
"68","peroxisome organization",1,68,"Mercenaria-Pgen"
"69","respiratory system process",1,68,"Mercenaria-Pgen"
"70","NA",5,3,"Manila-Pgen"
"71","cytoskeleton organization",2,3,"Manila-Pgen"
"72","anatomical structure development",1,3,"Manila-Pgen"
"73","mRNA metabolic process",1,3,"Manila-Pgen"
"74","anatomical structure development",63,54,"Mercenaria-Manila"
"75","signaling",51,54,"Mercenaria-Manila"
"76","NA",49,54,"Mercenaria-Manila"
"77","cell differentiation",43,54,"Mercenaria-Manila"
"78","cytoskeleton organization",34,54,"Mercenaria-Manila"
"79","DNA-templated transcription",28,54,"Mercenaria-Manila"
"80","cell motility",26,54,"Mercenaria-Manila"
"81","regulation of DNA-templated transcription",24,54,"Mercenaria-Manila"
"82","protein-containing complex assembly",23,54,"Mercenaria-Manila"
"83","reproductive process",23,54,"Mercenaria-Manila"
"84","cilium organization",18,54,"Mercenaria-Manila"
"85","microtubule-based movement",18,54,"Mercenaria-Manila"
"86","programmed cell death",18,54,"Mercenaria-Manila"
"87","protein catabolic process",17,54,"Mercenaria-Manila"
"88","vesicle-mediated transport",16,54,"Mercenaria-Manila"
"89","immune system process",15,54,"Mercenaria-Manila"
"90","nervous system process",14,54,"Mercenaria-Manila"
"91","mRNA metabolic process",13,54,"Mercenaria-Manila"
"92","mitotic cell cycle",13,54,"Mercenaria-Manila"
"93","cell adhesion",9,54,"Mercenaria-Manila"
"94","lipid metabolic process",9,54,"Mercenaria-Manila"
"95","cell junction organization",8,54,"Mercenaria-Manila"
"96","chromatin organization",7,54,"Mercenaria-Manila"
"97","DNA repair",6,54,"Mercenaria-Manila"
"98","membrane organization",6,54,"Mercenaria-Manila"
"99","carbohydrate derivative metabolic process",5,54,"Mercenaria-Manila"
"100","establishment or maintenance of cell polarity",5,54,"Mercenaria-Manila"
"101","transmembrane transport",5,54,"Mercenaria-Manila"
"102","autophagy",4,54,"Mercenaria-Manila"
"103","carbohydrate metabolic process",4,54,"Mercenaria-Manila"
"104","chromosome segregation",4,54,"Mercenaria-Manila"
"105","defense response to other organism",4,54,"Mercenaria-Manila"
"106","generation of precursor metabolites and energy",4,54,"Mercenaria-Manila"
"107","intracellular protein transport",4,54,"Mercenaria-Manila"
"108","nucleocytoplasmic transport",4,54,"Mercenaria-Manila"
"109","protein localization to plasma membrane",4,54,"Mercenaria-Manila"
"110","circulatory system process",3,54,"Mercenaria-Manila"
"111","cytokinesis",3,54,"Mercenaria-Manila"
"112","nucleobase-containing small molecule metabolic process",3,54,"Mercenaria-Manila"
"113","ribosome biogenesis",3,54,"Mercenaria-Manila"
"114","DNA recombination",2,54,"Mercenaria-Manila"
"115","DNA replication",2,54,"Mercenaria-Manila"
"116","cellular modified amino acid metabolic process",2,54,"Mercenaria-Manila"
"117","cytoplasmic translation",2,54,"Mercenaria-Manila"
"118","extracellular matrix organization",2,54,"Mercenaria-Manila"
"119","inflammatory response",2,54,"Mercenaria-Manila"
"120","mitochondrion organization",2,54,"Mercenaria-Manila"
"121","mitotic nuclear division",2,54,"Mercenaria-Manila"
"122","muscle system process",2,54,"Mercenaria-Manila"
"123","telomere organization",2,54,"Mercenaria-Manila"
"124","cellular amino acid metabolic process",1,54,"Mercenaria-Manila"
"125","protein maturation",1,54,"Mercenaria-Manila"
"126","respiratory system process",1,54,"Mercenaria-Manila"
"127","snRNA metabolic process",1,54,"Mercenaria-Manila"
"128","tRNA metabolic process",1,54,"Mercenaria-Manila"
"129","NA",19,31,"Pgen_alone"
"130","signaling",9,31,"Pgen_alone"
"131","anatomical structure development",7,31,"Pgen_alone"
"132","cytoskeleton organization",6,31,"Pgen_alone"
"133","cell differentiation",5,31,"Pgen_alone"
"134","carbohydrate metabolic process",3,31,"Pgen_alone"
"135","cell adhesion",3,31,"Pgen_alone"
"136","DNA-templated transcription",2,31,"Pgen_alone"
"137","cell junction organization",2,31,"Pgen_alone"
"138","establishment or maintenance of cell polarity",2,31,"Pgen_alone"
"139","generation of precursor metabolites and energy",2,31,"Pgen_alone"
"140","lipid metabolic process",2,31,"Pgen_alone"
"141","nervous system process",2,31,"Pgen_alone"
"142","programmed cell death",2,31,"Pgen_alone"
"143","regulation of DNA-templated transcription",2,31,"Pgen_alone"
"144","transmembrane transport",2,31,"Pgen_alone"
"145","vesicle-mediated transport",2,31,"Pgen_alone"
"146","DNA replication",1,31,"Pgen_alone"
"147","cell motility",1,31,"Pgen_alone"
"148","cellular modified amino acid metabolic process",1,31,"Pgen_alone"
"149","circulatory system process",1,31,"Pgen_alone"
"150","immune system process",1,31,"Pgen_alone"
"151","inflammatory response",1,31,"Pgen_alone"
"152","intracellular protein transport",1,31,"Pgen_alone"
"153","mRNA metabolic process",1,31,"Pgen_alone"
"154","membrane organization",1,31,"Pgen_alone"
"155","microtubule-based movement",1,31,"Pgen_alone"
"156","nucleobase-containing small molecule metabolic process",1,31,"Pgen_alone"
"157","nucleocytoplasmic transport",1,31,"Pgen_alone"
"158","reproductive process",1,31,"Pgen_alone"
