"","tissue","Term_unique","n_tissue","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"1","juvenile","anatomical structure development",1817,0.105168721421543,1853,0.105218329453183,0.999528522911384,-0.000471588268885386
"2","larvae","anatomical structure development",1743,0.10479797979798,1853,0.105218329453183,0.996004976914313,-0.0040030245081025
"3","heart","anatomical structure development",1678,0.104737531989264,1853,0.105218329453183,0.995430478069579,-0.00457999410983729
"4","ctenidia","anatomical structure development",1661,0.104393187103262,1853,0.105218329453183,0.992157807919884,-0.00787310378483622
"5","juvenile","signaling",1572,0.0909880187532558,1603,0.0910226562943615,0.9996194624227,-0.000380610000097904
"6","gonad","anatomical structure development",1524,0.103567787971458,1853,0.105218329453183,0.984313175372553,-0.0158111649112561
"7","larvae","signaling",1501,0.0902477152477152,1603,0.0910226562943615,0.991486283984724,-0.00855016471885465
"8","heart","signaling",1449,0.0904437925223145,1603,0.0910226562943615,0.993640442988447,-0.00637986514049951
"9","ctenidia","signaling",1437,0.0903148765005342,1603,0.0910226562943615,0.992224136026768,-0.00780625364329922
"10","gonad","signaling",1313,0.0892286782195039,1603,0.0910226562943615,0.980290862210657,-0.0199059531792447
"11","juvenile","cell differentiation",1256,0.0726978063321179,1281,0.0727386292657998,0.999438772298929,-0.000561385248287033
"12","larvae","cell differentiation",1206,0.0725108225108225,1281,0.0727386292657998,0.99686814616557,-0.0031367683523671
"13","heart","cell differentiation",1164,0.072654640783971,1281,0.0727386292657998,0.998845338677997,-0.00115532845698027
"14","ctenidia","cell differentiation",1142,0.0717742442335491,1281,0.0727386292657998,0.986741776110096,-0.01334689879355
"15","gonad","cell differentiation",1050,0.0713557594291539,1281,0.0727386292657998,0.980988508436245,-0.0191945336176531
"16","juvenile","DNA-templated transcription",728,0.0421369450714823,741,0.042075975242746,1.00144904136825,0.00144799252090217
"17","larvae","DNA-templated transcription",705,0.0423881673881674,741,0.042075975242746,1.00741972452499,0.00739233377341809
"18","heart","DNA-templated transcription",681,0.0425067099431995,741,0.042075975242746,1.01023706991861,0.0101850260017964
"19","ctenidia","DNA-templated transcription",675,0.0424234806108981,741,0.042075975242746,1.00825899735294,0.00822507846367167
"20","juvenile","regulation of DNA-templated transcription",668,0.0386641199282283,678,0.0384986656067231,1.00429766379945,0.00428845521655348
"21","juvenile","immune system process",660,0.0382010765757944,670,0.0380444040656408,1.00411814862137,0.00410969225576243
"22","larvae","regulation of DNA-templated transcription",647,0.0389009139009139,678,0.0384986656067231,1.01044836977728,0.0103941628177414
"23","gonad","DNA-templated transcription",625,0.0424736663268773,741,0.042075975242746,1.00945173776334,0.00940734956782674
"24","larvae","immune system process",625,0.0375781625781626,670,0.0380444040656408,0.987744807707494,-0.012330906391374
"25","heart","regulation of DNA-templated transcription",622,0.0388240434429811,678,0.0384986656067231,1.00845166530139,0.0084161499471549
"26","ctenidia","regulation of DNA-templated transcription",617,0.0387782037584061,678,0.0384986656067231,1.00726098287506,0.00723474885222094
"27","heart","immune system process",600,0.0374508457649335,670,0.0380444040656408,0.984398275770514,-0.0157247120204946
"28","ctenidia","immune system process",599,0.0376469109421155,670,0.0380444040656408,0.989551863584472,-0.0105031013823338
"29","juvenile","programmed cell death",593,0.0343230884991607,600,0.0340696155811709,1.00743985259787,0.00741231340188239
"30","juvenile","cell motility",583,0.0337442843086184,595,0.0337857021179944,0.998774102452233,-0.0012266495748342
"31","larvae","programmed cell death",577,0.0346921596921597,600,0.0340696155811709,1.01827270723104,0.0181077675491895
"32","gonad","regulation of DNA-templated transcription",572,0.0388718994223581,678,0.0384986656067231,1.0096947208365,0.00964802856691446
"33","gonad","immune system process",561,0.0381243628950051,670,0.0380444040656408,1.00210172379692,0.00209951826519674
"34","heart","programmed cell death",558,0.0348292865613882,600,0.0340696155811709,1.02229760938768,0.0220526523135356
"35","ctenidia","programmed cell death",557,0.0350072277041041,600,0.0340696155811709,1.02752047849496,0.0271485975983662
"36","larvae","cell motility",554,0.0333092833092833,595,0.0337857021179944,0.985898803966031,-0.0142015625411095
"37","ctenidia","cell motility",518,0.0325560932688077,595,0.0337857021179944,0.963605644633568,-0.037073150398918
"38","heart","cell motility",518,0.0323325635103926,595,0.0337857021179944,0.956989539464747,-0.0439628181377757
"39","juvenile","reproductive process",514,0.0297505353938763,536,0.0304355232525126,0.977493803771557,-0.0227633259953337
"40","gonad","programmed cell death",510,0.0346585117227319,600,0.0340696155811709,1.01728508324839,0.0171373956297371
"41","juvenile","cytoskeleton organization",509,0.0294611332986051,516,0.0292998693998069,1.00550391186383,0.00548882068926322
"42","larvae","cytoskeleton organization",499,0.030002405002405,516,0.0292998693998069,1.02397743119642,0.0236944865271922
"43","larvae","reproductive process",495,0.0297619047619048,536,0.0304355232525126,0.977867359630419,-0.0223812422448754
"44","ctenidia","cytoskeleton organization",489,0.0307334548425617,516,0.0292998693998069,1.04892804889991,0.0477687368805379
"45","heart","cytoskeleton organization",489,0.0305224392984208,516,0.0292998693998069,1.04172612109397,0.0408790691416801
"46","gonad","cell motility",479,0.0325518178729188,595,0.0337857021179944,0.963479100100795,-0.0372044830072025
"47","juvenile","vesicle-mediated transport",474,0.0274353186317069,484,0.0274828232354778,0.998271480212789,-0.00173001540125207
"48","ctenidia","reproductive process",473,0.0297278612280812,536,0.0304355232525126,0.976748813596526,-0.0235257596916404
"49","heart","reproductive process",461,0.0287747331627239,536,0.0304355232525126,0.945432510687931,-0.0561127729257826
"50","larvae","vesicle-mediated transport",456,0.0274170274170274,484,0.0274828232354778,0.997605929424111,-0.00239694094500919
"51","gonad","cytoskeleton organization",452,0.0307169554875977,516,0.0292998693998069,1.04836492847303,0.0472317394781804
"52","heart","vesicle-mediated transport",447,0.0279008800948755,484,0.0274828232354778,1.01521156890672,0.0150970330453082
"53","juvenile","protein-containing complex assembly",436,0.025235862707646,444,0.0252115155300664,1.00096571654134,0.000965250537112679
"54","ctenidia","vesicle-mediated transport",435,0.0273395763936899,484,0.0274828232354778,0.994787768324944,-0.00522586274071878
