"","tissue","Term_unique","n"
"1","juvenile","anatomical structure development",1817
"2","larvae","anatomical structure development",1743
"3","heart","anatomical structure development",1678
"4","ctenidia","anatomical structure development",1661
"5","juvenile","signaling",1572
"6","gonad","anatomical structure development",1524
"7","larvae","signaling",1501
"8","heart","signaling",1449
"9","ctenidia","signaling",1437
"10","gonad","signaling",1313
"11","juvenile","cell differentiation",1256
"12","larvae","cell differentiation",1206
"13","heart","cell differentiation",1164
"14","ctenidia","cell differentiation",1142
"15","gonad","cell differentiation",1050
"16","juvenile","DNA-templated transcription",728
"17","larvae","DNA-templated transcription",705
"18","heart","DNA-templated transcription",681
"19","ctenidia","DNA-templated transcription",675
"20","juvenile","regulation of DNA-templated transcription",668
"21","juvenile","immune system process",660
"22","larvae","regulation of DNA-templated transcription",647
"23","gonad","DNA-templated transcription",625
"24","larvae","immune system process",625
"25","heart","regulation of DNA-templated transcription",622
"26","ctenidia","regulation of DNA-templated transcription",617
"27","heart","immune system process",600
"28","ctenidia","immune system process",599
"29","juvenile","programmed cell death",593
"30","juvenile","cell motility",583
"31","larvae","programmed cell death",577
"32","gonad","regulation of DNA-templated transcription",572
"33","gonad","immune system process",561
"34","heart","programmed cell death",558
"35","ctenidia","programmed cell death",557
"36","larvae","cell motility",554
"37","ctenidia","cell motility",518
"38","heart","cell motility",518
"39","juvenile","reproductive process",514
"40","gonad","programmed cell death",510
"41","juvenile","cytoskeleton organization",509
"42","larvae","cytoskeleton organization",499
"43","larvae","reproductive process",495
"44","ctenidia","cytoskeleton organization",489
"45","heart","cytoskeleton organization",489
"46","gonad","cell motility",479
"47","juvenile","vesicle-mediated transport",474
"48","ctenidia","reproductive process",473
"49","heart","reproductive process",461
"50","larvae","vesicle-mediated transport",456
"51","gonad","cytoskeleton organization",452
"52","heart","vesicle-mediated transport",447
"53","juvenile","protein-containing complex assembly",436
"54","ctenidia","vesicle-mediated transport",435
"55","larvae","protein-containing complex assembly",424
"56","gonad","reproductive process",423
"57","heart","protein-containing complex assembly",421
"58","ctenidia","protein-containing complex assembly",419
"59","gonad","vesicle-mediated transport",402
"60","gonad","protein-containing complex assembly",379
"61","juvenile","cell adhesion",379
"62","larvae","cell adhesion",361
"63","juvenile","mitotic cell cycle",356
"64","juvenile","nervous system process",348
"65","larvae","mitotic cell cycle",348
"66","juvenile","lipid metabolic process",346
"67","ctenidia","mitotic cell cycle",344
"68","ctenidia","cell adhesion",342
"69","heart","cell adhesion",341
"70","heart","mitotic cell cycle",334
"71","larvae","lipid metabolic process",333
"72","larvae","nervous system process",327
"73","heart","lipid metabolic process",321
"74","juvenile","transmembrane transport",321
"75","ctenidia","lipid metabolic process",317
"76","gonad","mitotic cell cycle",316
"77","gonad","cell adhesion",305
"78","heart","nervous system process",304
"79","ctenidia","nervous system process",298
"80","juvenile","protein catabolic process",297
"81","larvae","transmembrane transport",296
"82","juvenile","carbohydrate derivative metabolic process",295
"83","larvae","protein catabolic process",294
"84","ctenidia","protein catabolic process",291
"85","heart","protein catabolic process",291
"86","gonad","lipid metabolic process",290
"87","juvenile","defense response to other organism",289
"88","larvae","carbohydrate derivative metabolic process",288
"89","heart","transmembrane transport",285
"90","juvenile","cell junction organization",277
"91","ctenidia","transmembrane transport",274
"92","gonad","protein catabolic process",274
"93","juvenile","membrane organization",272
"94","larvae","defense response to other organism",272
"95","heart","carbohydrate derivative metabolic process",269
"96","ctenidia","defense response to other organism",268
"97","heart","defense response to other organism",268
"98","ctenidia","carbohydrate derivative metabolic process",264
"99","larvae","membrane organization",264
"100","larvae","cell junction organization",260
"101","heart","membrane organization",259
"102","gonad","nervous system process",257
"103","ctenidia","membrane organization",254
"104","heart","cell junction organization",252
"105","gonad","carbohydrate derivative metabolic process",251
"106","ctenidia","cell junction organization",249
"107","gonad","transmembrane transport",248
"108","gonad","defense response to other organism",247
"109","gonad","membrane organization",232
"110","gonad","cell junction organization",227
"111","juvenile","intracellular protein transport",218
"112","larvae","intracellular protein transport",213
"113","heart","intracellular protein transport",211
"114","ctenidia","intracellular protein transport",208
"115","gonad","intracellular protein transport",196
"116","juvenile","mRNA metabolic process",193
"117","larvae","mRNA metabolic process",189
"118","heart","mRNA metabolic process",188
"119","ctenidia","mRNA metabolic process",187
"120","juvenile","circulatory system process",182
"121","gonad","mRNA metabolic process",180
"122","juvenile","cilium organization",178
"123","juvenile","DNA repair",177
"124","larvae","DNA repair",176
"125","larvae","cilium organization",175
"126","ctenidia","cilium organization",174
"127","heart","cilium organization",174
"128","ctenidia","DNA repair",173
"129","heart","DNA repair",170
"130","gonad","DNA repair",168
"131","juvenile","nucleobase-containing small molecule metabolic process",168
"132","gonad","cilium organization",167
"133","larvae","nucleobase-containing small molecule metabolic process",167
"134","larvae","circulatory system process",165
"135","juvenile","mitochondrion organization",164
"136","larvae","mitochondrion organization",163
"137","heart","mitochondrion organization",162
"138","heart","nucleobase-containing small molecule metabolic process",161
"139","ctenidia","mitochondrion organization",160
"140","juvenile","autophagy",159
"141","juvenile","carbohydrate metabolic process",159
"142","ctenidia","nucleobase-containing small molecule metabolic process",158
"143","juvenile","microtubule-based movement",157
"144","heart","circulatory system process",155
"145","larvae","autophagy",155
"146","larvae","carbohydrate metabolic process",155
"147","ctenidia","autophagy",154
"148","gonad","nucleobase-containing small molecule metabolic process",154
"149","heart","autophagy",154
"150","gonad","mitochondrion organization",153
"151","larvae","microtubule-based movement",153
"152","ctenidia","circulatory system process",149
"153","heart","microtubule-based movement",149
"154","ctenidia","microtubule-based movement",148
"155","ctenidia","carbohydrate metabolic process",147
"156","gonad","autophagy",145
"157","heart","carbohydrate metabolic process",143
"158","gonad","microtubule-based movement",141
"159","gonad","circulatory system process",140
"160","juvenile","chromosome segregation",137
"161","gonad","carbohydrate metabolic process",134
"162","larvae","chromosome segregation",134
"163","juvenile","inflammatory response",132
"164","ctenidia","chromosome segregation",131
"165","gonad","chromosome segregation",131
"166","juvenile","mitotic nuclear division",131
"167","heart","chromosome segregation",130
"168","ctenidia","mitotic nuclear division",127
"169","larvae","inflammatory response",127
"170","larvae","mitotic nuclear division",127
