,Term_unique,tissue_n,normalized
1,tRNA metabolic process,heart_n,1
2,tRNA metabolic process,juvenile_n,1
3,tRNA metabolic process,larvae_n,1
4,tRNA metabolic process,ctenidia_n,1
5,vesicle-mediated transport,juvenile_n,0.972789116
6,vitamin metabolic process,juvenile_n,0.961538462
7,tRNA metabolic process,gonad_n,0.956521739
8,vitamin metabolic process,larvae_n,0.923076923
9,vesicle-mediated transport,larvae_n,0.921768707
10,wound healing,juvenile_n,0.911111111
11,vesicle-mediated transport,heart_n,0.880952381
24,tRNA metabolic process,ctenidia_n,1
13,wound healing,larvae_n,0.844444444
14,vesicle-mediated transport,gonad_n,0.785714286
44,tRNA metabolic process,ctenidia_n,1
16,wound healing,heart_n,0.711111111
64,tRNA metabolic process,ctenidia_n,1
18,vitamin metabolic process,heart_n,0.692307692
19,wound healing,gonad_n,0.688888889
20,vitamin metabolic process,gonad_n,0.615384615
21,tRNA metabolic process,heart_n,1
22,tRNA metabolic process,juvenile_n,1
23,tRNA metabolic process,larvae_n,1
84,tRNA metabolic process,ctenidia_n,1
25,vesicle-mediated transport,juvenile_n,0.972789116
26,vitamin metabolic process,juvenile_n,0.961538462
27,tRNA metabolic process,gonad_n,0.956521739
28,vitamin metabolic process,larvae_n,0.923076923
29,vesicle-mediated transport,larvae_n,0.921768707
30,wound healing,juvenile_n,0.911111111
31,vesicle-mediated transport,heart_n,0.880952381
104,tRNA metabolic process,ctenidia_n,1
33,wound healing,larvae_n,0.844444444
34,vesicle-mediated transport,gonad_n,0.785714286
12,vesicle-mediated transport,ctenidia_n,0.850340136
36,wound healing,heart_n,0.711111111
32,vesicle-mediated transport,ctenidia_n,0.850340136
38,vitamin metabolic process,heart_n,0.692307692
39,wound healing,gonad_n,0.688888889
40,vitamin metabolic process,gonad_n,0.615384615
41,tRNA metabolic process,heart_n,1
42,tRNA metabolic process,juvenile_n,1
43,tRNA metabolic process,larvae_n,1
52,vesicle-mediated transport,ctenidia_n,0.850340136
45,vesicle-mediated transport,juvenile_n,0.972789116
46,vitamin metabolic process,juvenile_n,0.961538462
47,tRNA metabolic process,gonad_n,0.956521739
48,vitamin metabolic process,larvae_n,0.923076923
49,vesicle-mediated transport,larvae_n,0.921768707
50,wound healing,juvenile_n,0.911111111
51,vesicle-mediated transport,heart_n,0.880952381
72,vesicle-mediated transport,ctenidia_n,0.850340136
53,wound healing,larvae_n,0.844444444
54,vesicle-mediated transport,gonad_n,0.785714286
92,vesicle-mediated transport,ctenidia_n,0.850340136
56,wound healing,heart_n,0.711111111
112,vesicle-mediated transport,ctenidia_n,0.850340136
58,vitamin metabolic process,heart_n,0.692307692
59,wound healing,gonad_n,0.688888889
60,vitamin metabolic process,gonad_n,0.615384615
61,tRNA metabolic process,heart_n,1
62,tRNA metabolic process,juvenile_n,1
63,tRNA metabolic process,larvae_n,1
15,vitamin metabolic process,ctenidia_n,0.769230769
65,vesicle-mediated transport,juvenile_n,0.972789116
66,vitamin metabolic process,juvenile_n,0.961538462
67,tRNA metabolic process,gonad_n,0.956521739
68,vitamin metabolic process,larvae_n,0.923076923
69,vesicle-mediated transport,larvae_n,0.921768707
70,wound healing,juvenile_n,0.911111111
71,vesicle-mediated transport,heart_n,0.880952381
35,vitamin metabolic process,ctenidia_n,0.769230769
73,wound healing,larvae_n,0.844444444
74,vesicle-mediated transport,gonad_n,0.785714286
55,vitamin metabolic process,ctenidia_n,0.769230769
76,wound healing,heart_n,0.711111111
75,vitamin metabolic process,ctenidia_n,0.769230769
78,vitamin metabolic process,heart_n,0.692307692
79,wound healing,gonad_n,0.688888889
80,vitamin metabolic process,gonad_n,0.615384615
81,tRNA metabolic process,heart_n,1
82,tRNA metabolic process,juvenile_n,1
83,tRNA metabolic process,larvae_n,1
95,vitamin metabolic process,ctenidia_n,0.769230769
85,vesicle-mediated transport,juvenile_n,0.972789116
86,vitamin metabolic process,juvenile_n,0.961538462
87,tRNA metabolic process,gonad_n,0.956521739
88,vitamin metabolic process,larvae_n,0.923076923
89,vesicle-mediated transport,larvae_n,0.921768707
90,wound healing,juvenile_n,0.911111111
91,vesicle-mediated transport,heart_n,0.880952381
115,vitamin metabolic process,ctenidia_n,0.769230769
93,wound healing,larvae_n,0.844444444
94,vesicle-mediated transport,gonad_n,0.785714286
17,wound healing,ctenidia_n,0.711111111
96,wound healing,heart_n,0.711111111
37,wound healing,ctenidia_n,0.711111111
98,vitamin metabolic process,heart_n,0.692307692
99,wound healing,gonad_n,0.688888889
100,vitamin metabolic process,gonad_n,0.615384615
101,tRNA metabolic process,heart_n,1
102,tRNA metabolic process,juvenile_n,1
103,tRNA metabolic process,larvae_n,1
57,wound healing,ctenidia_n,0.711111111
105,vesicle-mediated transport,juvenile_n,0.972789116
106,vitamin metabolic process,juvenile_n,0.961538462
107,tRNA metabolic process,gonad_n,0.956521739
108,vitamin metabolic process,larvae_n,0.923076923
109,vesicle-mediated transport,larvae_n,0.921768707
110,wound healing,juvenile_n,0.911111111
111,vesicle-mediated transport,heart_n,0.880952381
77,wound healing,ctenidia_n,0.711111111
113,wound healing,larvae_n,0.844444444
114,vesicle-mediated transport,gonad_n,0.785714286
97,wound healing,ctenidia_n,0.711111111
116,wound healing,heart_n,0.711111111
117,wound healing,ctenidia_n,0.711111111
118,vitamin metabolic process,heart_n,0.692307692
119,wound healing,gonad_n,0.688888889
120,vitamin metabolic process,gonad_n,0.615384615
