,transcriptome,Term,n
1,Pgenerosa,anatomical structure development,8104
2,Pgenerosa,signaling,4724
3,Pgenerosa,cell differentiation,3215
4,Pgenerosa,DNA-templated transcription,1612
5,Pgenerosa,immune system process,1510
6,Pgenerosa,regulation of DNA-templated transcription,1309
7,Pgenerosa,lipid metabolic process,1156
8,Pgenerosa,reproductive process,980
9,Pgenerosa,vesicle-mediated transport,960
10,Pgenerosa,programmed cell death,922
11,Pgenerosa,transmembrane transport,916
12,Pgenerosa,carbohydrate derivative metabolic process,862
13,Pgenerosa,cytoskeleton organization,825
14,Pgenerosa,cell motility,797
15,Pgenerosa,defense response to other organism,707
16,Pgenerosa,cell adhesion,682
17,Pgenerosa,nervous system process,556
18,Pgenerosa,cell junction organization,554
19,Pgenerosa,protein-containing complex assembly,520
20,Pgenerosa,protein catabolic process,457
21,Pgenerosa,circulatory system process,426
22,Pgenerosa,mRNA metabolic process,413
23,Pgenerosa,nucleobase-containing small molecule metabolic process,410
24,Pgenerosa,mitotic cell cycle,408
25,Pgenerosa,membrane organization,382
26,Pgenerosa,carbohydrate metabolic process,343
27,Pgenerosa,DNA repair,298
28,Pgenerosa,intracellular protein transport,239
29,Pgenerosa,autophagy,233
30,Pgenerosa,cilium organization,231
31,Pgenerosa,muscle system process,231
32,Pgenerosa,sulfur compound metabolic process,214
33,Pgenerosa,cellular amino acid metabolic process,207
34,Pgenerosa,mitochondrion organization,192
35,Pgenerosa,microtubule-based movement,186
36,Pgenerosa,chromosome segregation,178
37,Pgenerosa,DNA recombination,174
38,Pgenerosa,protein maturation,152
39,Pgenerosa,inflammatory response,148
40,Pgenerosa,DNA replication,146
41,Pgenerosa,mitotic nuclear division,136
42,Pgenerosa,ribosome biogenesis,135
43,Pgenerosa,generation of precursor metabolites and energy,128
44,Pgenerosa,nucleocytoplasmic transport,126
45,Pgenerosa,cellular modified amino acid metabolic process,125
46,Pgenerosa,protein glycosylation,125
47,Pgenerosa,telomere organization,122
48,Pgenerosa,cytokinesis,116
49,Pgenerosa,establishment or maintenance of cell polarity,113
50,Pgenerosa,meiotic nuclear division,112
51,Pgenerosa,chromatin organization,111
52,Pgenerosa,wound healing,105
53,Pgenerosa,tRNA metabolic process,102
54,Pgenerosa,extracellular matrix organization,97
55,Pgenerosa,renal system process,85
56,Pgenerosa,protein localization to plasma membrane,80
57,Pgenerosa,digestive system process,56
58,Pgenerosa,vitamin metabolic process,51
59,Pgenerosa,gene silencing by RNA,49
60,Pgenerosa,mitochondrial gene expression,44
61,Pgenerosa,endocrine process,41
62,Pgenerosa,snRNA metabolic process,29
63,Pgenerosa,protein folding,28
64,Pgenerosa,cell wall organization or biogenesis,26
65,Pgenerosa,cytoplasmic translation,26
66,Pgenerosa,detoxification,21
67,Pgenerosa,respiratory system process,17
68,Pgenerosa,lysosome organization,16
69,Pgenerosa,,10
