"","tissue","Term_unique","n"
"1","juvenile","anatomical structure development",1107
"2","larvae","anatomical structure development",1050
"3","ctenidia","anatomical structure development",994
"4","heart","anatomical structure development",988
"5","juvenile","signaling",938
"6","gonad","anatomical structure development",898
"7","larvae","signaling",885
"8","ctenidia","signaling",845
"9","heart","signaling",838
"10","juvenile","cell differentiation",771
"11","gonad","signaling",765
"12","larvae","cell differentiation",728
"13","heart","cell differentiation",690
"14","ctenidia","cell differentiation",688
"15","gonad","cell differentiation",627
"16","juvenile","DNA-templated transcription",412
"17","juvenile","immune system process",401
"18","larvae","DNA-templated transcription",395
"19","ctenidia","DNA-templated transcription",379
"20","larvae","immune system process",379
"21","heart","DNA-templated transcription",378
"22","juvenile","regulation of DNA-templated transcription",375
"23","larvae","regulation of DNA-templated transcription",360
"24","ctenidia","immune system process",353
"25","heart","immune system process",352
"26","gonad","DNA-templated transcription",347
"27","ctenidia","regulation of DNA-templated transcription",345
"28","heart","regulation of DNA-templated transcription",344
"29","juvenile","cell motility",344
"30","gonad","immune system process",330
"31","larvae","cell motility",325
"32","juvenile","programmed cell death",321
"33","gonad","regulation of DNA-templated transcription",316
"34","larvae","programmed cell death",309
"35","juvenile","reproductive process",306
"36","ctenidia","cell motility",302
"37","juvenile","cytoskeleton organization",301
"38","ctenidia","programmed cell death",300
"39","heart","cell motility",300
"40","heart","programmed cell death",298
"41","larvae","cytoskeleton organization",295
"42","heart","cytoskeleton organization",287
"43","juvenile","vesicle-mediated transport",286
"44","larvae","reproductive process",286
"45","ctenidia","cytoskeleton organization",283
"46","gonad","programmed cell death",276
"47","juvenile","protein-containing complex assembly",275
"48","ctenidia","reproductive process",273
"49","gonad","cell motility",273
"50","larvae","vesicle-mediated transport",271
"51","larvae","protein-containing complex assembly",268
"52","gonad","cytoskeleton organization",267
"53","heart","protein-containing complex assembly",264
"54","heart","reproductive process",263
"55","ctenidia","protein-containing complex assembly",260
"56","heart","vesicle-mediated transport",259
"57","ctenidia","vesicle-mediated transport",250
"58","gonad","protein-containing complex assembly",236
"59","gonad","reproductive process",234
"60","gonad","vesicle-mediated transport",231
"61","juvenile","cell adhesion",225
"62","larvae","cell adhesion",212
"63","juvenile","lipid metabolic process",207
"64","juvenile","nervous system process",207
"65","juvenile","transmembrane transport",200
"66","larvae","lipid metabolic process",198
"67","ctenidia","cell adhesion",197
"68","juvenile","mitotic cell cycle",193
"69","heart","cell adhesion",192
"70","heart","lipid metabolic process",190
"71","larvae","mitotic cell cycle",189
"72","ctenidia","lipid metabolic process",188
"73","ctenidia","mitotic cell cycle",187
"74","larvae","nervous system process",186
"75","larvae","transmembrane transport",185
"76","heart","mitotic cell cycle",178
"77","juvenile","defense response to other organism",178
"78","gonad","mitotic cell cycle",177
"79","juvenile","protein catabolic process",175
"80","heart","transmembrane transport",174
"81","juvenile","cell junction organization",174
"82","gonad","cell adhesion",173
"83","heart","nervous system process",173
"84","juvenile","carbohydrate derivative metabolic process",173
"85","larvae","protein catabolic process",173
"86","ctenidia","nervous system process",172
"87","gonad","lipid metabolic process",171
"88","heart","protein catabolic process",171
"89","ctenidia","transmembrane transport",170
"90","larvae","defense response to other organism",170
"91","ctenidia","protein catabolic process",169
"92","larvae","carbohydrate derivative metabolic process",167
"93","gonad","protein catabolic process",164
"94","larvae","cell junction organization",163
"95","heart","defense response to other organism",162
"96","ctenidia","defense response to other organism",161
"97","heart","cell junction organization",154
"98","ctenidia","cell junction organization",152
"99","ctenidia","carbohydrate derivative metabolic process",150
"100","gonad","transmembrane transport",149
"101","juvenile","membrane organization",149
"102","gonad","defense response to other organism",148
"103","heart","carbohydrate derivative metabolic process",148
"104","larvae","membrane organization",145
"105","gonad","nervous system process",144
"106","heart","membrane organization",144
"107","gonad","carbohydrate derivative metabolic process",139
"108","gonad","cell junction organization",139
"109","ctenidia","membrane organization",137
"110","juvenile","intracellular protein transport",130
"111","gonad","membrane organization",127
"112","larvae","intracellular protein transport",126
"113","heart","intracellular protein transport",122
"114","ctenidia","intracellular protein transport",121
"115","juvenile","circulatory system process",118
"116","gonad","intracellular protein transport",115
"117","juvenile","carbohydrate metabolic process",110
"118","juvenile","mRNA metabolic process",109
"119","larvae","carbohydrate metabolic process",107
"120","larvae","mRNA metabolic process",105
"121","ctenidia","mRNA metabolic process",104
"122","heart","mRNA metabolic process",104
"123","juvenile","cilium organization",104
"124","larvae","circulatory system process",103
"125","larvae","cilium organization",102
"126","ctenidia","carbohydrate metabolic process",100
"127","gonad","mRNA metabolic process",99
"128","heart","circulatory system process",99
"129","juvenile","DNA repair",99
"130","heart","cilium organization",98
"131","larvae","DNA repair",98
"132","ctenidia","cilium organization",97
"133","heart","carbohydrate metabolic process",96
"134","ctenidia","DNA repair",95
"135","juvenile","autophagy",95
"136","gonad","DNA repair",94
"137","gonad","cilium organization",94
"138","heart","autophagy",94
"139","larvae","autophagy",94
"140","ctenidia","autophagy",93
"141","heart","DNA repair",93
"142","ctenidia","circulatory system process",90
"143","juvenile","mitochondrion organization",90
"144","larvae","mitochondrion organization",90
"145","heart","mitochondrion organization",89
"146","ctenidia","mitochondrion organization",88
"147","juvenile","nucleobase-containing small molecule metabolic process",87
"148","gonad","carbohydrate metabolic process",86
"149","gonad","circulatory system process",86
"150","gonad","autophagy",85
