"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","PGEN_.00g000040::Scaffold_01:55792-67546","CM026396.1",92.5,80,5,1,6515,6593,7925945,7925866,1.03e-21,113
"2","PGEN_.00g000060::Scaffold_01:70713-81099","CM026396.1",84.459,148,13,9,8654,8797,8012773,8012632,5.37e-29,137
"3","PGEN_.00g000270::Scaffold_01:344820-379444","CM026403.1",86.792,106,14,0,25426,25531,21152762,21152657,6.5e-23,119
"4","PGEN_.00g000280::Scaffold_01:402378-436712","CM026403.1",86.792,106,14,0,19350,19455,21152762,21152657,6.45e-23,119
"5","PGEN_.00g000300::Scaffold_01:503707-557915","CM026404.1",81.481,189,24,9,2986,3167,56991582,56991766,1.68e-30,145
"6","PGEN_.00g000450::Scaffold_01:912369-922837","CM026397.1",85.938,192,27,0,6245,6436,62501726,62501917,1.46e-49,206
"7","PGEN_.00g000540::Scaffold_01:1129780-1201223","CM026387.1",80,185,32,5,45832,46014,20392765,20392584,1.72e-26,132
"8","PGEN_.00g000670::Scaffold_01:1389639-1400328","CM026397.1",82.099,324,56,2,5424,5746,76165001,76165323,1.12e-70,276
"9","PGEN_.00g000750::Scaffold_01:1436447-1448680","CM026397.1",84.553,123,18,1,6842,6964,53188964,53189085,6.38e-24,121
"10","PGEN_.00g000950::Scaffold_01:1873971-1892032","CM026403.1",78.534,191,28,12,12903,13088,4773846,4774028,1.58e-21,113
"11","PGEN_.00g001080::Scaffold_01:2184093-2211336","CM026386.1",86.408,103,12,2,1691,1792,74452382,74452483,8.56e-21,111
"12","PGEN_.00g001140::Scaffold_01:2257307-2316262","CM026390.1",81.959,194,34,1,34291,34483,57167524,57167331,5.05e-36,163
"13","PGEN_.00g001390::Scaffold_01:2888353-2905488","CM026396.1",89.13,92,10,0,13183,13274,7925957,7925866,4.16e-22,115
"14","PGEN_.00g001410::Scaffold_01:2961919-2993436","CM026403.1",87.736,106,13,0,29428,29533,21152657,21152762,1.27e-24,124
"15","PGEN_.00g001460::Scaffold_01:3036425-3075067","CM026396.1",98.75,80,1,0,12019,12098,2368269,2368190,4.31e-30,143
"16","PGEN_.00g001480::Scaffold_01:3120104-3151510","CM026396.1",89.908,109,8,3,4118,4225,7925866,7925972,1.63e-28,137
"17","PGEN_.00g001660::Scaffold_01:3421229-3430343","CM026390.1",84.639,332,40,8,8470,8798,58003365,58003688,4.36e-84,320
"18","PGEN_.00g001690::Scaffold_01:3481019-3530305","CM026396.1",86.916,107,11,3,32793,32898,7925866,7925970,3.33e-22,117
"19","PGEN_.00g001740::Scaffold_01:3599291-3603918","CM026397.1",83.333,132,15,5,386,511,29581328,29581198,1.12e-22,115
"20","PGEN_.00g001920::Scaffold_01:3956825-3992262","CM026394.1",89.189,111,6,3,23879,23985,24381182,24381290,2.38e-27,134
"21","PGEN_.00g001960::Scaffold_01:4060276-4100419","CM026402.1",86.185,637,81,3,28197,28828,51890308,51890942,0,682
"22","PGEN_.00g001980::Scaffold_01:4088727-4092907","CM026392.1",88.8,375,38,4,3,375,42956737,42957109,1.46e-125,457
"23","PGEN_.00g001990::Scaffold_01:4109720-4172563","CM026390.1",82.741,197,29,2,40434,40625,57167328,57167524,3.21e-38,171
"24","PGEN_.00g002130::Scaffold_01:4616177-4687745","CM026397.1",81.513,238,39,4,27338,27571,66982530,66982294,2.81e-44,191
"25","PGEN_.00g002400::Scaffold_01:5690716-5723136","CM026391.1",83.333,282,30,4,29018,29298,32666222,32665957,9.63e-61,244
"26","PGEN_.00g002430::Scaffold_01:5761729-5830003","CM026404.1",78.947,209,33,11,9929,10130,6036048,6036252,1.65e-26,132
