"","target_id","gene","tissue","tpm","binary","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"30","PGEN_.00g000770","PGEN_.00g000770","gonad",8.380382,1,"P32240",19219,"Ptger4","Prostaglandin E2 receptor EP4 subtype","Prostanoid EP4 receptor","GO:0016021;GO:0044306;GO:0043025;GO:0031965;GO:0005886;GO:0004957;GO:0007189;GO:0007188;GO:0060348;GO:0071260;GO:0071380;GO:0042466;GO:0097070;GO:0070371;GO:0006954;GO:0007254;GO:0042322;GO:0001818;GO:1904336;GO:1904471;GO:2000420;GO:0010727;GO:0050728;GO:0033624;GO:0032690;GO:0051771;GO:0002792;GO:1904348;GO:0032720;GO:2000388;GO:0045780;GO:1904364;GO:0043950;GO:0045785;GO:0008284;GO:1904367;GO:0046010;GO:0001819;GO:0007204;GO:0010628;GO:1900127;GO:0050729;GO:0032733;GO:0032757;GO:1904466;GO:0070257;GO:2000391;GO:0045778;GO:0045669;GO:2000386;GO:0001934;GO:0050714;GO:0035815;GO:0014911;GO:1904460;GO:1904496;GO:0042531;GO:0035810;GO:0090303;GO:0010840;GO:0030278;GO:0051492;GO:0032496;GO:0042093","GO:0007189;GO:0007188;GO:0060348;GO:0071260;GO:0071380;GO:0042466;GO:0097070;GO:0070371;GO:0006954;GO:0007254;GO:0042322;GO:0001818;GO:1904336;GO:1904471;GO:2000420;GO:0010727;GO:0050728;GO:0033624;GO:0032690;GO:0051771;GO:0002792;GO:1904348;GO:0032720;GO:2000388;GO:0045780;GO:1904364;GO:0043950;GO:0045785;GO:0008284;GO:1904367;GO:0046010;GO:0001819;GO:0007204;GO:0010628;GO:1900127;GO:0050729;GO:0032733;GO:0032757;GO:1904466;GO:0070257;GO:2000391;GO:0045778;GO:0045669;GO:2000386;GO:0001934;GO:0050714;GO:0035815;GO:0014911;GO:1904460;GO:1904496;GO:0042531;GO:0035810;GO:0090303;GO:0010840;GO:0030278;GO:0051492;GO:0032496;GO:0042093","GO:0016021;GO:0044306;GO:0043025;GO:0031965;GO:0005886","GO:0004957","GO:0023052;GO:0023052;GO:0048856;GO:0048856;GO:0023052;GO:0023052;GO:0048856;GO:0002376;GO:0048870;GO:0006954;GO:0065003;GO:0003012;GO:0022414;GO:0048856;GO:0023052;GO:0023052;GO:0007155;GO:0005975;GO:1901135;GO:0006954;GO:0002376;GO:0048870;GO:0030154;GO:0022414;GO:0048856;GO:0003014;GO:0048870;GO:0023052;GO:0023052;GO:0023052;GO:0003014;GO:0042060;GO:0007010;GO:0002376;GO:0030154;GO:0048856","signaling;signaling;anatomical structure development;anatomical structure development;signaling;signaling;anatomical structure development;immune system process;cell motility;inflammatory response;protein-containing complex assembly;muscle system process;reproductive process;anatomical structure development;signaling;signaling;cell adhesion;carbohydrate metabolic process;carbohydrate derivative metabolic process;inflammatory response;immune system process;cell motility;cell differentiation;reproductive process;anatomical structure development;renal system process;cell motility;signaling;signaling;signaling;renal system process;wound healing;cytoskeleton organization;immune system process;cell differentiation;anatomical structure development"
"43","PGEN_.00g001030","PGEN_.00g001030","gonad",10.007218,1,"Q15831;B2RBX7;E7EW76",6794,"STK11","Serine/threonine-protein kinase STK11","Renal carcinoma antigen NY-REN-19","GO:0005737;GO:0005829;GO:0070062;GO:0140535;GO:0016020;GO:0005739;GO:0005654;GO:0005634;GO:0030018;GO:0005524;GO:0030275;GO:0000287;GO:0002039;GO:0030295;GO:0106310;GO:0004674;GO:0004712;GO:0044877;GO:0032147;GO:0043276;GO:0006914;GO:0007409;GO:0060070;GO:0006974;GO:0071493;GO:0097484;GO:0030010;GO:0070314;GO:0042593;GO:0051645;GO:0072332;GO:0090090;GO:0030308;GO:0008285;GO:0120163;GO:0060770;GO:1904262;GO:0018107;GO:0010508;GO:0050772;GO:0045722;GO:1900182;GO:0030511;GO:1901610;GO:0045059;GO:0046777;GO:0006470;GO:0006468;GO:0051726;GO:0001558;GO:0048814;GO:0051896;GO:1901796;GO:0014823;GO:0033762;GO:0010212;GO:0033993;GO:0097066;GO:0007283;GO:0050852;GO:0001894;GO:0001944","GO:0032147;GO:0043276;GO:0006914;GO:0007409;GO:0060070;GO:0006974;GO:0071493;GO:0097484;GO:0030010;GO:0070314;GO:0042593;GO:0051645;GO:0072332;GO:0090090;GO:0030308;GO:0008285;GO:0120163;GO:0060770;GO:1904262;GO:0018107;GO:0010508;GO:0050772;GO:0045722;GO:1900182;GO:0030511;GO:1901610;GO:0045059;GO:0046777;GO:0006470;GO:0006468;GO:0051726;GO:0001558;GO:0048814;GO:0051896;GO:1901796;GO:0014823;GO:0033762;GO:0010212;GO:0033993;GO:0097066;GO:0007283;GO:0050852;GO:0001894;GO:0001944","GO:0005737;GO:0005829;GO:0070062;GO:0140535;GO:0016020;GO:0005739;GO:0005654;GO:0005634;GO:0030018","GO:0005524;GO:0030275;GO:0000287;GO:0002039;GO:0030295;GO:0106310;GO:0004674;GO:0004712;GO:0044877","GO:0012501;GO:0030154;GO:0048856;GO:0023052;GO:0030154;GO:0048856;GO:0007163;GO:0012501;GO:0023052;GO:0023052;GO:0022414;GO:0048856;GO:0023052;GO:0006914;GO:0030154;GO:0048856;GO:0005975;GO:0023052;GO:0007018;GO:0002376;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0023052;GO:0023052;GO:0022414;GO:0002376;GO:0023052;GO:0048856","programmed cell death;cell differentiation;anatomical structure development;signaling;cell differentiation;anatomical structure development;establishment or maintenance of cell polarity;programmed cell death;signaling;signaling;reproductive process;anatomical structure development;signaling;autophagy;cell differentiation;anatomical structure development;carbohydrate metabolic process;signaling;microtubule-based movement;immune system process;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;signaling;signaling;reproductive process;immune system process;signaling;anatomical structure development"
"51","PGEN_.00g001170","PGEN_.00g001170","gonad",9.941162,1,"Q9VKJ9",34543,"l(2)gd1","Coiled-coil and C2 domain-containing protein 1-like","Lethal giant disks protein","GO:0005737;GO:0098592;GO:0005634;GO:0000981;GO:0001227;GO:0005543;GO:0000978;GO:0048749;GO:0016197;GO:0048132;GO:0008586;GO:0006886;GO:0000281;GO:0045746;GO:0007219;GO:0006357;GO:0007423;GO:0045035;GO:0007472","GO:0048749;GO:0016197;GO:0048132;GO:0008586;GO:0006886;GO:0000281;GO:0045746;GO:0007219;GO:0006357;GO:0007423;GO:0045035;GO:0007472","GO:0005737;GO:0098592;GO:0005634","GO:0000981;GO:0001227;GO:0005543;GO:0000978","GO:0048856;GO:0016192;GO:0022414;GO:0030154;GO:0048856;GO:0048856;GO:0000278;GO:0000910;GO:0023052;GO:0023052;GO:0006351;GO:0006355;GO:0048856;GO:0048856;GO:0048856","anatomical structure development;vesicle-mediated transport;reproductive process;cell differentiation;anatomical structure development;anatomical structure development;mitotic cell cycle;cytokinesis;signaling;signaling;DNA-templated transcription;regulation of DNA-templated transcription;anatomical structure development;anatomical structure development;anatomical structure development"
"53","PGEN_.00g001200","PGEN_.00g001200","gonad",165.250445,1,"Q07666;D3DPP3;Q6PJX7;Q8NB97;Q99760",10657,"KHDRBS1","KH domain-containing RNA-binding signal transduction-associated protein 1","p68","GO:0005737;GO:0005829;GO:0070618;GO:0016020;GO:0005654;GO:0005634;GO:0032991;GO:0003677;GO:0042802;GO:0003729;GO:0008143;GO:0008266;GO:0019904;GO:1990782;GO:0044877;GO:0003723;GO:0042169;GO:0017124;GO:0035591;GO:0000082;GO:0000086;GO:0006397;GO:0000122;GO:0045892;GO:0046833;GO:0045948;GO:0000381;GO:0048024;GO:0046831;GO:0007283;GO:0050852","GO:0000082;GO:0000086;GO:0006397;GO:0000122;GO:0045892;GO:0046833;GO:0045948;GO:0000381;GO:0048024;GO:0046831;GO:0007283;GO:0050852","GO:0005737;GO:0005829;GO:0070618;GO:0016020;GO:0005654;GO:0005634;GO:0032991","GO:0003677;GO:0042802;GO:0003729;GO:0008143;GO:0008266;GO:0019904;GO:1990782;GO:0044877;GO:0003723;GO:0042169;GO:0017124;GO:0035591","GO:0000278;GO:0000278;GO:0016071;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0006913;GO:0016071;GO:0016071;GO:0006913;GO:0022414;GO:0002376;GO:0023052","mitotic cell cycle;mitotic cell cycle;mRNA metabolic process;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;nucleocytoplasmic transport;mRNA metabolic process;mRNA metabolic process;nucleocytoplasmic transport;reproductive process;immune system process;signaling"
"54","PGEN_.00g001210","PGEN_.00g001210","gonad",3.987071,1,"Q9WTK8;Q8VIH6;Q9QUK2;Q9QY57;Q9QZS1",26972,"Spo11","Meiotic recombination protein SPO11","p68","GO:0000781;GO:0000228;GO:0005654;GO:0005524;GO:0003677;GO:0003918;GO:0016787;GO:0046872;GO:1990918;GO:0007129;GO:0007141;GO:0042138;GO:0000706;GO:0045141;GO:0048477;GO:0001541;GO:0034502;GO:0007131;GO:0007286;GO:0007130","GO:1990918;GO:0007129;GO:0007141;GO:0042138;GO:0000706;GO:0045141;GO:0048477;GO:0001541;GO:0034502;GO:0007131;GO:0007286;GO:0007130","GO:0000781;GO:0000228;GO:0005654","GO:0005524;GO:0003677;GO:0003918;GO:0016787;GO:0046872","GO:0006281;GO:0006310;GO:0022414;GO:0140013;GO:0007059;GO:0022414;GO:0140013;GO:0022414;GO:0140013;GO:0022414;GO:0006281;GO:0022414;GO:0007059;GO:0022414;GO:0140013;GO:0022414;GO:0030154;GO:0048856;GO:0022414;GO:0048856;GO:0006310;GO:0022414;GO:0140013;GO:0022414;GO:0030154;GO:0048856;GO:0007059;GO:0022414;GO:0140013","DNA repair;DNA recombination;reproductive process;meiotic nuclear division;chromosome segregation;reproductive process;meiotic nuclear division;reproductive process;meiotic nuclear division;reproductive process;DNA repair;reproductive process;chromosome segregation;reproductive process;meiotic nuclear division;reproductive process;cell differentiation;anatomical structure development;reproductive process;anatomical structure development;DNA recombination;reproductive process;meiotic nuclear division;reproductive process;cell differentiation;anatomical structure development;chromosome segregation;reproductive process;meiotic nuclear division"
"124","PGEN_.00g002680","PGEN_.00g002680","gonad",0.270823,1,"P09487;Q17QS5",280994,"ALPL","Alkaline phosphatase tissue-nonspecific isozyme","Phosphocreatine phosphatase","GO:0031225;GO:0031012;GO:0065010;GO:0005758;GO:0031966;GO:0005886;GO:0043262;GO:0004035;GO:0016887;GO:0005509;GO:0004427;GO:0050187;GO:0052732;GO:0033883;GO:0016462;GO:0031214;GO:0030282;GO:0071407;GO:0016311;GO:0003006;GO:0001958;GO:0120162;GO:0042822;GO:0046677;GO:0033280","GO:0031214;GO:0030282;GO:0071407;GO:0016311;GO:0003006;GO:0001958;GO:0120162;GO:0042822;GO:0046677;GO:0033280","GO:0031225;GO:0031012;GO:0065010;GO:0005758;GO:0031966;GO:0005886","GO:0043262;GO:0004035;GO:0016887;GO:0005509;GO:0004427;GO:0050187;GO:0052732;GO:0033883;GO:0016462","GO:0048856;GO:0048856;GO:0022414;GO:0048856;GO:0006766","anatomical structure development;anatomical structure development;reproductive process;anatomical structure development;vitamin metabolic process"
"141","PGEN_.00g003070","PGEN_.00g003070","gonad",6.944152,1,"Q96S53;Q5T422;Q5T423;Q8N520;Q9Y3Q6",10420,"TESK2","Dual specificity testis-specific protein kinase 2","Testicular protein kinase 2","GO:0005737;GO:0016604;GO:0005654;GO:0005634;GO:0005524;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0004713;GO:0030036;GO:0048041;GO:0006468;GO:0007283","GO:0030036;GO:0048041;GO:0006468;GO:0007283","GO:0005737;GO:0016604;GO:0005654;GO:0005634","GO:0005524;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0004713","GO:0007010;GO:0007155;GO:0034330;GO:0022414","cytoskeleton organization;cell adhesion;cell junction organization;reproductive process"
"142","PGEN_.00g003090","PGEN_.00g003090","gonad",7.808228,1,"Q924U5;A1A5M5",170908,"Tesk2","Dual specificity testis-specific protein kinase 2","Testicular protein kinase 2","GO:0005737;GO:0016604;GO:0005634;GO:0005524;GO:0046872;GO:0106310;GO:0004674;GO:0004712;GO:0004713;GO:0030036;GO:0006915;GO:0048041;GO:0035556;GO:0006468;GO:0007283","GO:0030036;GO:0006915;GO:0048041;GO:0035556;GO:0006468;GO:0007283","GO:0005737;GO:0016604;GO:0005634","GO:0005524;GO:0046872;GO:0106310;GO:0004674;GO:0004712;GO:0004713","GO:0007010;GO:0012501;GO:0007155;GO:0034330;GO:0023052;GO:0022414","cytoskeleton organization;programmed cell death;cell adhesion;cell junction organization;signaling;reproductive process"
"144","PGEN_.00g003130","PGEN_.00g003130","gonad",33.216873,1,"Q5U2T6",297804,"Plag1","Zinc finger protein PLAG1","Pleiomorphic adenoma gene 1 protein","GO:0005813;GO:0005829;GO:0016607;GO:0001228;GO:0000981;GO:0046872;GO:0000978;GO:0022612;GO:0035264;GO:0010629;GO:0035265;GO:0010628;GO:0060252;GO:0045944;GO:0060736;GO:0006355;GO:0006351","GO:0022612;GO:0035264;GO:0010629;GO:0035265;GO:0010628;GO:0060252;GO:0045944;GO:0060736;GO:0006355;GO:0006351","GO:0005813;GO:0005829;GO:0016607","GO:0001228;GO:0000981;GO:0046872;GO:0000978","GO:0048856;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0022414;GO:0048856;GO:0006351","anatomical structure development;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;reproductive process;anatomical structure development;DNA-templated transcription"
"174","PGEN_.00g003570","PGEN_.00g003570","gonad",2.014126,1,"P18075;Q9H512;Q9NTQ7",655,"BMP7","Bone morphogenetic protein 7","Eptotermin alfa","GO:0062023;GO:0005576;GO:0005615;GO:0031982;GO:0070700;GO:0005125;GO:0008083;GO:0008201;GO:1905069;GO:0007411;GO:0030509;GO:0060445;GO:0048754;GO:0048738;GO:0060411;GO:0051216;GO:0071773;GO:0071456;GO:0060710;GO:0016358;GO:0048596;GO:0030326;GO:0009880;GO:0060272;GO:0003272;GO:0030855;GO:0001837;GO:0061384;GO:0030902;GO:0048762;GO:0060485;GO:0001707;GO:0001823;GO:0072136;GO:0072133;GO:0001656;GO:0070487;GO:0045786;GO:0060548;GO:0072125;GO:0043407;GO:0072040;GO:0045839;GO:0050768;GO:0045665;GO:0032088;GO:1901223;GO:0045746;GO:0042326;GO:0060686;GO:0010664;GO:0045892;GO:0072134;GO:0021502;GO:0048812;GO:0042475;GO:0001503;GO:0003344;GO:0060037;GO:0043065;GO:0030501;GO:0090336;GO:1905312;GO:1900006;GO:0010718;GO:0010628;GO:0034116;GO:1900106;GO:0045666;GO:0045669;GO:0010862;GO:0010800;GO:0045944;GO:0045893;GO:0034504;GO:0060687;GO:0060393;GO:2000121;GO:0032355;GO:0043434;GO:0033280;GO:0001501;GO:0060395;GO:0043401;GO:0001657","GO:1905069;GO:0007411;GO:0030509;GO:0060445;GO:0048754;GO:0048738;GO:0060411;GO:0051216;GO:0071773;GO:0071456;GO:0060710;GO:0016358;GO:0048596;GO:0030326;GO:0009880;GO:0060272;GO:0003272;GO:0030855;GO:0001837;GO:0061384;GO:0030902;GO:0048762;GO:0060485;GO:0001707;GO:0001823;GO:0072136;GO:0072133;GO:0001656;GO:0070487;GO:0045786;GO:0060548;GO:0072125;GO:0043407;GO:0072040;GO:0045839;GO:0050768;GO:0045665;GO:0032088;GO:1901223;GO:0045746;GO:0042326;GO:0060686;GO:0010664;GO:0045892;GO:0072134;GO:0021502;GO:0048812;GO:0042475;GO:0001503;GO:0003344;GO:0060037;GO:0043065;GO:0030501;GO:0090336;GO:1905312;GO:1900006;GO:0010718;GO:0010628;GO:0034116;GO:1900106;GO:0045666;GO:0045669;GO:0010862;GO:0010800;GO:0045944;GO:0045893;GO:0034504;GO:0060687;GO:0060393;GO:2000121;GO:0032355;GO:0043434;GO:0033280;GO:0001501;GO:0060395;GO:0043401;GO:0001657","GO:0062023;GO:0005576;GO:0005615;GO:0031982","GO:0070700;GO:0005125;GO:0008083;GO:0008201","GO:0048856;GO:0030154;GO:0048856;GO:0023052;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0007155;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0007155;GO:0048856;GO:0023052;GO:0012501;GO:0048856;GO:0000278;GO:0140014;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0023052;GO:0023052;GO:0022414;GO:0048856;GO:0012501;GO:0006351;GO:0006355;GO:0048856;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0012501;GO:0048856;GO:0030154;GO:0030154;GO:0048856;GO:0048870;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0007155;GO:0030154;GO:0048856;GO:0030154;GO:0023052;GO:0006351;GO:0006355;GO:0006351;GO:0006355;GO:0022414;GO:0048856;GO:0023052;GO:0098754;GO:0048856;GO:0023052;GO:0023052;GO:0048856","anatomical structure development;cell differentiation;anatomical structure development;signaling;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;cell adhesion;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;cell adhesion;anatomical structure development;signaling;programmed cell death;anatomical structure development;mitotic cell cycle;mitotic nuclear division;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;signaling;signaling;reproductive process;anatomical structure development;programmed cell death;DNA-templated transcription;regulation of DNA-templated transcription;anatomical structure development;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;programmed cell death;anatomical structure development;cell differentiation;cell differentiation;anatomical structure development;cell motility;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;cell adhesion;cell differentiation;anatomical structure development;cell differentiation;signaling;DNA-templated transcription;regulation of DNA-templated transcription;DNA-templated transcription;regulation of DNA-templated transcription;reproductive process;anatomical structure development;signaling;detoxification;anatomical structure development;signaling;signaling;anatomical structure development"
