"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","PGEN_.00g000060::Scaffold_01:70713-81099","OX365947.1",74.279,416,84,18,8233,8632,45311857,45311449,3.22e-34,154
"2","PGEN_.00g000270::Scaffold_01:344820-379444","OX365949.1",75.163,306,58,17,12787,13082,44409602,44409899,6.52e-26,128
"3","PGEN_.00g000300::Scaffold_01:503707-557915","OX365947.1",83.648,159,16,4,33941,34098,11033636,11033487,1.31e-29,141
"4","PGEN_.00g000320::Scaffold_01:571666-599482","OX365950.1",79.545,220,35,10,19925,20139,32051514,32051300,4.02e-32,148
"5","PGEN_.00g000670::Scaffold_01:1389639-1400328","OX365948.1",87.857,140,17,0,1615,1754,57095451,57095590,1.53e-37,165
"6","PGEN_.00g001140::Scaffold_01:2257307-2316262","OX365948.1",78.487,423,82,8,58534,58953,39400447,39400031,6.27e-68,268
"7","PGEN_.00g001170::Scaffold_01:2366888-2417042","OX365948.1",82.443,131,23,0,27266,27396,48282864,48282734,7.36e-22,115
"8","PGEN_.00g001350::Scaffold_01:2794647-2838542","OX365948.1",76.093,343,78,4,27463,27803,2560726,2561066,2.91e-40,176
"9","PGEN_.00g001380::Scaffold_01:2878758-2888130","OX365948.1",78.431,204,43,1,132,334,3787992,3788195,1.36e-27,132
"10","PGEN_.00g001410::Scaffold_01:2961919-2993436","OX365952.1",79.126,206,35,8,29689,29891,15027078,15027278,3.55e-28,135
"11","PGEN_.00g001460::Scaffold_01:3036425-3075067","OX365948.1",97.778,90,1,1,12014,12102,39347482,39347393,1.2e-33,154
"12","PGEN_.00g001730::Scaffold_01:3585240-3594053","OX365948.1",81.057,227,43,0,1,227,17892876,17892650,1.25e-42,182
"13","PGEN_.00g002430::Scaffold_01:5761729-5830003","OX365948.1",81.765,170,26,5,14683,14848,48907471,48907303,2.14e-28,137
"14","PGEN_.00g002510::Scaffold_01:6053072-6090279","OX365948.1",80.567,247,48,0,14971,15217,34235341,34235587,8.81e-45,191
"15","PGEN_.00g002830::Scaffold_01:6817761-6843514","OX365948.1",83.838,198,28,4,1265,1460,8558481,8558676,2.84e-43,185
"16","PGEN_.00g003510::Scaffold_01:8762565-8766855","OX365957.1",89.738,916,77,9,3294,4199,16932152,16933060,0,1155
"17","PGEN_.00g003520::Scaffold_01:8767297-8783750","OX365957.1",93.842,2452,151,0,1,2452,16934964,16937415,0,3692
"18","PGEN_.00g003680::Scaffold_01:9326867-9335186","OX365948.1",81.707,246,42,3,7171,7414,28635536,28635780,9.08e-49,202
"19","PGEN_.00g003950::Scaffold_01:10084738-10097421","OX365960.1",86.792,106,11,3,432,537,25943906,25944008,1.86e-22,115
"20","PGEN_.00g004020::Scaffold_01:10345340-10378622","OX365948.1",82.096,229,38,3,11019,11246,39985031,39984805,2.19e-45,193
