"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","PGEN_.00g000670::Scaffold_01:1389639-1400328","CM046307.1",81.743,241,44,0,9865,10105,4701175,4701415,1.23e-48,202
"2","PGEN_.00g000750::Scaffold_01:1436447-1448680","CM046307.1",86.614,127,16,1,5534,5660,48173212,48173087,1.12e-29,139
"3","PGEN_.00g001140::Scaffold_01:2257307-2316262","CM046307.1",79.108,426,82,7,58530,58953,5629185,5629605,1.82e-73,287
"4","PGEN_.00g001460::Scaffold_01:3036425-3075067","CM046299.1",100,84,0,0,12015,12098,11178085,11178002,3.51e-34,156
"5","PGEN_.00g001750::Scaffold_01:3622826-3623443","CM046307.1",75.49,510,109,11,116,617,11699203,11698702,6.68e-60,235
"6","PGEN_.00g001780::Scaffold_01:3684779-3689770","CM046308.1",80.978,184,31,4,2928,3109,38094244,38094063,3.51e-31,143
"7","PGEN_.00g001940::Scaffold_01:4016042-4056415","CM046307.1",87.273,165,21,0,34002,34166,17390035,17389871,3.61e-44,189
"8","PGEN_.00g001990::Scaffold_01:4109720-4172563","CM046307.1",90.179,112,11,0,47755,47866,17260887,17260776,3.43e-31,147
"9","PGEN_.00g002130::Scaffold_01:4616177-4687745","CM046307.1",82.979,141,24,0,8934,9074,14570009,14570149,1.42e-25,128
"10","PGEN_.00g002430::Scaffold_01:5761729-5830003","CM046307.1",87.037,108,14,0,5712,5819,70075595,70075702,6.29e-24,122
"11","PGEN_.00g002440::Scaffold_01:5862129-5874005","CM046307.1",77.451,204,45,1,3710,3913,52471184,52471386,3.93e-24,121
"12","PGEN_.00g002510::Scaffold_01:6053072-6090279","CM046307.1",81.034,232,42,2,14276,14506,57684072,57684302,1.55e-42,183
"13","PGEN_.00g002700::Scaffold_01:6604833-6621571","CM046307.1",84.507,142,21,1,7719,7859,30576023,30575882,1.53e-29,139
"14","PGEN_.00g003010::Scaffold_01:7506282-7521583","CM046307.1",87.692,130,16,0,7815,7944,36436813,36436684,1.79e-33,152
"15","PGEN_.00g004170::Scaffold_01:10862517-10885272","CM046307.1",87.591,137,17,0,14218,14354,5172344,5172480,1.6e-35,159
"16","PGEN_.00g004260::Scaffold_01:11020714-11077206","CM046307.1",80.569,211,29,5,1,202,1213431,1213638,6.64e-33,152
"17","PGEN_.00g004400::Scaffold_01:11291051-11336417","CM046307.1",78.191,188,39,2,9700,9886,25424949,25425135,5.4e-23,119
"18","PGEN_.00g005030::Scaffold_01:12857326-12892624","CM046299.1",77.374,358,75,6,4084,4438,2488665,2489019,8.72e-50,207
"19","PGEN_.00g005480::Scaffold_01:13725578-13827565","CM046301.1",90.909,88,6,2,72292,72378,24239281,24239195,4.37e-22,117
"20","PGEN_.00g006460::Scaffold_01:16246522-16297666","CM046307.1",79.787,188,33,5,29249,29433,41234418,41234603,7.83e-27,132
"21","PGEN_.00g007520::Scaffold_01:18898111-18906973","CM046307.1",84.8,125,19,0,1789,1913,13880447,13880323,6.29e-26,126
"22","PGEN_.00g007860::Scaffold_01:19770707-19772944","CM046307.1",81.176,1020,186,6,1,1017,63438086,63437070,0,815
"23","PGEN_.00g007870::Scaffold_01:19789621-19794144","CM046307.1",82.434,1019,176,3,3506,4522,63452029,63453046,0,887
