"","gene","Scaffold","V2","V3","V4","V5","V6","V7","V8","V9","V10","e-value","V12"
"1","PGEN_.00g000010","Scaffold_01:2-4719","NC_069378.1",88.542,96,9,2,3664,3758,14443468,14443562,1.37e-22,115
"2","PGEN_.00g000040","Scaffold_01:55792-67546","NC_069375.1",83.878,459,74,0,5877,6335,52837612,52837154,1.79e-119,438
"3","PGEN_.00g000050","Scaffold_01:67586-69113","NC_069366.1",82.903,620,82,11,3,601,6979220,6979836,7.89e-150,536
"4","PGEN_.00g000060","Scaffold_01:70713-81099","NC_069361.1",77.021,631,120,18,8316,8926,4292978,4293603,1.65e-89,339
"5","PGEN_.00g000070","Scaffold_01:183686-186073","NC_069363.1",81.701,2410,409,24,1,2387,73739500,73741900,0,1978
"6","PGEN_.00g000270","Scaffold_01:344820-379444","NC_069366.1",74.859,1062,201,40,12100,13111,57182018,57180973,5.32e-114,422
"7","PGEN_.00g000280","Scaffold_01:402378-436712","NC_069369.1",74.844,803,165,26,18687,19460,81673063,81672269,3.29e-86,329
"8","PGEN_.00g000300","Scaffold_01:503707-557915","NW_026462983.1",87.151,179,20,2,13285,13460,17538,17716,4.25e-47,200
"9","PGEN_.00g000350","Scaffold_01:651708-652814","NC_069369.1",86.207,116,14,2,175,289,68260656,68260542,5.23e-26,124
"10","PGEN_.00g000390","Scaffold_01:717161-743048","NC_069373.1",90.196,102,6,4,24436,24536,44292313,44292411,2.7e-26,130
"11","PGEN_.00g000420","Scaffold_01:812355-819404","NC_069373.1",90.196,102,6,4,1351,1451,44292411,44292313,7.33e-27,130
"12","PGEN_.00g000440","Scaffold_01:868194-911401","NC_069369.1",84.669,287,38,6,33943,34225,80708234,80707950,1.18e-71,281
"13","PGEN_.00g000460","Scaffold_01:936602-978401","NC_069377.1",85.238,210,31,0,26133,26342,68346816,68347025,3.26e-52,217
"14","PGEN_.00g000480","Scaffold_01:1018280-1021447","NC_069371.1",84.762,210,31,1,629,838,81195549,81195341,4.09e-51,209
