"","Genebank","gene","Scaffold","V3","V4","V5","V6","V7","V8","V9","V10","e-value","V12","Cluster","Tissue.specificity","Description"
"1","AM863520","PGEN_.00g249580","Scaffold_12:20098267-20123571",84.259,108,17,0,252,359,4877,4770,4.53e-25,119,3,"","(sp:Q5R416) Catenin alpha-2 OS=Pongo abelii GN=CTNNA2 PE=2 SV=3"
"2","CU988915","PGEN_.00g083570","Scaffold_04:12277941-12315161",74.242,198,51,0,213,410,36771,36574,1.22e-27,128,6,"","(sp:Q498H0) Sister chromatid cohesion protein PDS5 homolog B-A OS=Xenopus laevis GN=pds5b-A PE=1 SV=1"
"3","FP005928","PGEN_.00g115390","Scaffold_05:31254913-31268529",79.675,123,14,4,170,284,7174,7055,1.69e-20,102,9,"","(sp:P83917) Chromobox protein homolog 1 OS=Mus musculus GN=Cbx1 PE=1 SV=1"
"4","AM857424","PGEN_.00g147120","Scaffold_06:46560730-46570090",68.59,624,182,9,44,660,183,799,1.1e-53,214,3,"female gonad","(sp:Q5ZJI0) Protein-tyrosine sulfotransferase 2 OS=Gallus gallus GN=TPST2 PE=2 SV=1"
"5","CU999660","PGEN_.00g009290","Scaffold_01:24158956-24178469",74.101,139,30,3,511,646,11633,11498,1.89e-13,81.5,3,"female gonad","(sp:Q8CG46) Structural maintenance of chromosomes protein 5 OS=Mus musculus GN=Smc5 PE=2 SV=1"
"6","CU682645","PGEN_.00g177910","Scaffold_08:26961810-26962778",78.594,313,67,0,2,314,466,778,8.47e-69,263,7,"","(sp:P67963) Casein kinase I isoform alpha OS=Xenopus laevis GN=csnk1a1 PE=2 SV=1"
"7","AM860311","PGEN_.00g261330","Scaffold_13:4516674-4523927",76.136,264,63,0,95,358,6327,6064,2.86e-47,193,5,"","(sp:Q9JLI7) Sperm-associated antigen 6 OS=Mus musculus GN=Spag6 PE=1 SV=1"
"8","AM861884","PGEN_.00g120960","Scaffold_05:46479775-46484814",78.571,98,21,0,211,308,3214,3311,3.43e-14,83.3,5,"","(sp:A3KMX7) Putative malate dehydrogenase 1B OS=Bos taurus GN=MDH1B PE=2 SV=1"
"9","FP001184","PGEN_.00g122190","Scaffold_05:49542151-49599351",77.885,104,23,0,54,157,42,145,5.37e-15,85.1,3,"","(sp:Q6NSM8) Serine/threonine-protein kinase SIK3 homolog OS=Danio rerio GN=zgc:66101 PE=2 SV=1"
"10","FP008026","PGEN_.00g032220","Scaffold_01:87624196-87624507",67.939,262,72,3,10,268,266,14,5.43e-17,92.4,2,"female gonad","(sp:Q8TBZ3) WD repeat-containing protein 20 OS=Homo sapiens GN=WDR20 PE=1 SV=2"
"11","AM867657","PGEN_.00g036380","Scaffold_02:8465347-8486845",77.099,131,30,0,426,556,894,764,3.52e-20,102,3,"female gonad","(sp:Q9NXV2) BTB/POZ domain-containing protein KCTD5 OS=Homo sapiens GN=KCTD5 PE=1 SV=1"
"12","AM856027","PGEN_.00g051540","Scaffold_02:51396321-51427416",72.593,135,37,0,443,577,30600,30466,3.92e-13,78.8,2,"","(sp:Q6IE24) Inactive ubiquitin carboxyl-terminal hydrolase 54 OS=Rattus norvegicus GN=Usp54 PE=2 SV=2"
"13","AM864971","PGEN_.00g146190","Scaffold_06:44103121-44125397",67.702,322,100,2,91,410,18392,18711,7.52e-22,107,7,"","(sp:Q08AX9) Uncharacterized protein KIAA1841 homolog OS=Xenopus laevis PE=2 SV=1"
"14","AM862640","PGEN_.00g315750","Scaffold_15:47528864-47548460",74.742,194,48,1,379,572,17268,17460,4.72e-27,126,7,"","(sp:Q3SWX9) Double-strand-break repair protein rad21 homolog OS=Bos taurus GN=RAD21 PE=2 SV=1"
"15","AM854101","PGEN_.00g055680","Scaffold_02:62655793-62660629",77.941,204,45,0,154,357,3113,2910,5.3e-39,166,3,"","(sp:Q6PDU1) Splicing factor, arginine/serine-rich 2 OS=Rattus norvegicus GN=Sfrs2 PE=1 SV=3"
