"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","PGEN_.00g000300::Scaffold_01:503707-557915","JAKTTH010002749.1",79.621,898,136,43,1282,2161,267598,268466,7.56e-168,601
"2","PGEN_.00g000950::Scaffold_01:1873971-1892032","JAKTTH010007305.1",86.726,113,13,2,16592,16703,40190,40079,6.64e-25,124
"3","PGEN_.00g000970::Scaffold_01:1970367-1991359","JAKTTH010007058.1",84.874,119,18,0,17337,17455,123763,123881,9.98e-24,121
"4","PGEN_.00g001200::Scaffold_01:2543753-2574931","JAKTTH010014713.1",79.692,389,64,12,8543,8926,571312,571690,1.8e-67,267
"5","PGEN_.00g001360::Scaffold_01:2844428-2852597","JAKTTH010008071.1",87.069,116,13,2,7294,7408,400902,401016,6.44e-27,130
"6","PGEN_.00g001460::Scaffold_01:3036425-3075067","JAKTTH010010317.1",95.789,95,2,1,11548,11640,26107,26201,6.52e-33,152
"7","PGEN_.00g001660::Scaffold_01:3421229-3430343","JAKTTH010012862.1",82.412,199,31,4,8603,8798,261276,261079,4.24e-39,171
"8","PGEN_.00g001730::Scaffold_01:3585240-3594053","JAKTTH010004316.1",80.87,230,36,6,1,226,284296,284521,3.17e-40,174
"9","PGEN_.00g001780::Scaffold_01:3684779-3689770","JAKTTH010001363.1",79.032,186,36,3,2176,2360,81645,81828,1.83e-25,124
"10","PGEN_.00g001920::Scaffold_01:3956825-3992262","JAKTTH010001048.1",85.039,127,13,6,32368,32493,147803,147924,1.3e-24,124
"11","PGEN_.00g001960::Scaffold_01:4060276-4100419","JAKTTH010010053.1",81.937,382,61,8,37880,38258,85033,84657,2.27e-82,316
"12","PGEN_.00g001990::Scaffold_01:4109720-4172563","JAKTTH010003707.1",74.203,345,77,10,58049,58387,3137,2799,3.84e-27,134
"13","PGEN_.00g002130::Scaffold_01:4616177-4687745","JAKTTH010000810.1",85.106,188,27,1,13026,13213,99532,99346,2.56e-44,191
"14","PGEN_.00g002150::Scaffold_01:4722842-4732333","JAKTTH010012827.1",91.304,92,4,4,5102,5191,24947,25036,1.25e-24,122
"15","PGEN_.00g002380::Scaffold_01:5640237-5669831","JAKTTH010005474.1",97.297,74,1,1,17384,17457,155563,155491,1.09e-24,124
"16","PGEN_.00g002420::Scaffold_01:5732605-5754981","JAKTTH010009746.1",88.406,138,16,0,9737,9874,33367,33230,1.35e-37,167
